LessThanHighSchoolGraduateOrEquivalency_HasAComputer_WithDial_upInternetSubscriptionAlone,LessThanHighSchoolGraduateOrEquivalency_HasAComputer_WithABroadbandInternetSubscription,LessThanHighSchoolGraduateOrEquivalency_HasAComputer_WithoutAnInternetSubscription,LessThanHighSchoolGraduateOrEquivalency_NoComputer,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_HasAComputer_WithDial_upInternetSubscriptionAlone,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_HasAComputer_WithABroadbandInternetSubscription,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_HasAComputer_WithoutAnInternetSubscription,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_NoComputer,BachelorsDegreeOrHigher_HasAComputer_WithDial_upInternetSubscriptionAlone,BachelorsDegreeOrHigher_HasAComputer_WithABroadbandInternetSubscription,BachelorsDegreeOrHigher_HasAComputer_WithoutAnInternetSubscription,BachelorsDegreeOrHigher_NoComputer,stateId
419,22349,4042,9915,3715,286803,25959,27186,744,117727,4303,2331,WI-07
76,22709,2231,6416,1818,274023,14616,25558,582,132230,3771,4184,WI-06
265,23868,2134,7586,2009,287664,18304,23295,188,132726,3227,2679,WI-08
5609,210385,58832,204138,12882,819230,123020,218115,11631,520542,39148,48803,PR-98
0,45261,10787,17948,498,261456,28599,27953,105,100583,4386,3985,MS-01
219,37036,12128,15977,815,219125,37526,24751,128,121144,6589,2204,MS-03
106,37146,8356,11417,336,265855,40472,30950,433,104071,5726,3611,MS-04
96,37021,13294,24603,268,204068,35276,34438,148,75627,5250,3863,MS-02
0,17150,2886,5061,102,222780,15379,26448,90,189289,3788,4199,PA-18
147,31397,5331,9046,1458,259998,17960,21244,570,145388,2951,2986,PA-07
106,61881,12240,16243,241,241342,20107,19718,354,104411,3023,1544,PA-02
0,15872,1269,5240,508,237050,13915,21700,198,212660,5014,4098,PA-17
0,19887,3556,5087,433,239866,9537,10201,216,211689,3201,2223,PA-01
211,30134,4573,13886,2098,280401,17444,32062,312,97422,1574,2777,PA-13
76,24677,3861,9336,932,248027,17158,26257,491,125961,4366,3376,PA-16
257,29249,3303,6746,1975,282394,16671,24073,316,113734,3224,2992,PA-08
90,28889,4324,9558,701,258245,14699,21664,369,160381,3115,2754,PA-10
369,39199,5637,17607,2134,251548,17096,22976,390,135062,2912,2319,PA-11
205,32830,4564,12393,1572,281394,18565,27046,220,100674,2135,2844,PA-09
69,17438,2480,3996,224,209728,10194,10623,180,244328,3781,2132,PA-04
357,19362,3485,13240,2129,273133,20656,34541,326,93173,3988,2732,PA-15
45,28621,2962,4271,331,218911,16361,17799,86,185292,3978,1746,PA-05
348,30601,5214,10378,545,200396,21198,27701,80,199985,5202,3213,PA-03
157,38064,6749,10554,1452,277192,25583,30641,154,120914,5953,2885,MO-07
92,23816,5457,8449,1354,269926,25762,21784,112,142892,5126,1805,MO-06
203,47158,7794,14728,1458,272686,27146,28914,35,83268,4199,2282,MO-08
188,31534,5635,7305,1076,303363,21089,14824,194,150567,3636,2234,MO-03
341,32395,5258,7680,1605,263920,28759,24008,192,122037,5443,2892,MO-04
354,28149,3328,7475,3522,371933,33260,29846,725,233142,7777,5957,MT-00
181,23417,4374,6445,1176,221427,21040,23719,192,89034,3131,2667,NE-03
44,75527,19229,15158,300,233204,33512,17619,92,75059,7555,2320,NV-01
45,31698,2882,2094,227,329951,23062,10127,168,199102,9416,3844,NV-03
297,48757,4867,4608,645,280566,15576,13066,44,133863,4363,2312,NV-02
45,21686,2493,6350,965,237163,13944,14462,519,171517,3931,2476,NH-02
34,30166,4682,8376,726,255633,13218,15978,300,161809,2855,2121,NJ-01
65,44333,9530,13167,141,238266,20412,15015,125,157346,5020,4406,NJ-10
71,24486,1592,3875,436,200483,6213,10934,438,252583,3684,3163,NJ-05
79,22690,1521,2449,454,183099,4551,10835,225,274539,3617,4031,NJ-07
64,57068,2686,6953,96,241803,12802,17260,89,181857,3329,3053,NJ-09
0,41118,7209,6610,773,210242,13450,10372,217,194903,5770,1906,NJ-06
0,40194,3837,4398,206,192460,13496,11370,117,235103,6008,2741,NJ-12
0,36522,8700,8912,810,215853,26085,16032,1153,154261,7729,3908,NM-01
0,29694,10197,17006,1103,209128,37352,36786,668,121894,6772,3141,NM-03
42,41453,2363,2529,235,259313,9679,8151,58,153012,2494,2417,NY-02
0,29981,4612,8630,679,213167,14026,17052,307,190007,5956,3422,NY-25
0,26604,2739,2298,165,175912,5846,9021,195,282436,6748,3503,NY-03
161,42107,6294,10891,150,100300,9295,19008,383,318077,7054,6880,NY-10
74,87958,8710,23263,0,196124,12526,18267,182,165266,4493,4346,NY-13
39,26513,3673,8935,476,247901,15978,26701,0,147677,3600,2739,NY-26
0,44346,5721,11748,199,196101,17026,18129,182,196635,4703,4518,NY-09
0,31710,3420,3797,279,242772,5704,14089,93,182182,3316,4431,NY-01
66,75887,16137,18763,443,156417,18076,14836,248,167765,7317,3559,NY-07
0,34564,2835,7169,556,174651,7991,11107,175,236035,4361,3362,NY-17
892,60137,10202,9740,190,204972,20178,15082,479,187786,7058,5151,NY-06
206,72359,6156,6640,205,259319,20943,14585,216,126220,5271,2856,NY-05
