LessThanHighSchoolGraduateOrEquivalency_HasAComputer_WithDial_upInternetSubscriptionAlone,LessThanHighSchoolGraduateOrEquivalency_HasAComputer_WithABroadbandInternetSubscription,LessThanHighSchoolGraduateOrEquivalency_HasAComputer_WithoutAnInternetSubscription,LessThanHighSchoolGraduateOrEquivalency_NoComputer,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_HasAComputer_WithDial_upInternetSubscriptionAlone,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_HasAComputer_WithABroadbandInternetSubscription,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_HasAComputer_WithoutAnInternetSubscription,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_NoComputer,BachelorsDegreeOrHigher_HasAComputer_WithDial_upInternetSubscriptionAlone,BachelorsDegreeOrHigher_HasAComputer_WithABroadbandInternetSubscription,BachelorsDegreeOrHigher_HasAComputer_WithoutAnInternetSubscription,BachelorsDegreeOrHigher_NoComputer,stateId
0,39945,11724,15987,48,278268,36883,23284,42,112833,3703,2463,SC-07
21,34522,13569,14431,1374,193639,43513,23787,31,89893,6955,2691,SC-06
97,37846,7683,16073,372,267485,22302,24413,59,131245,3277,2486,TN-03
580,34522,8094,12125,3625,248705,32682,24137,671,113184,5648,4388,AL-01
369,39778,14735,14040,1074,242529,24044,23969,25,110363,4051,1458,AL-03
0,35350,5654,9075,664,236077,21628,20107,383,162327,4572,2263,AL-05
116,49817,8662,20463,690,250028,24537,33952,136,78308,3297,1715,AL-04
59,31032,8197,17510,1104,214068,29775,33523,56,87813,4252,2254,AL-07
106,36330,7363,12691,871,235814,21243,24606,205,101024,3837,2565,AL-02
0,29168,4111,8419,442,223470,14275,13618,555,179949,3841,1991,AL-06
52,22587,4161,3068,472,257413,23171,10880,257,135344,5327,1899,AK-00
121,31663,11205,15306,941,243175,40244,30946,261,121864,4988,3133,AZ-01
82,80658,11598,13599,725,252809,19743,13030,25,74085,3480,1493,AZ-03
128,24051,4377,3488,451,292480,13231,9689,129,210611,3403,1883,AZ-05
299,45696,7216,6766,1161,358522,26436,17746,462,120739,4154,2077,AZ-04
92,98099,34896,10639,354,223995,38785,15589,233,73759,4955,1387,AZ-07
12,32313,5264,4399,315,249752,16465,15107,202,174571,5374,2674,AZ-02
115,36233,10352,2814,230,254085,22862,8373,468,251175,6274,2049,AZ-06
0,37766,3041,3218,887,312329,14306,8841,150,171944,3052,3109,AZ-08
123,49485,12279,11666,843,260144,26176,17218,302,147393,4341,3663,AR-03
0,32004,6165,10331,692,258730,25530,23207,105,144627,4135,2832,AR-02
124,74885,10014,7567,260,277182,15945,13685,71,123688,4051,2762,CA-36
0,115063,14207,7591,247,209118,12838,6938,83,93784,4176,1856,CA-46
0,13224,1024,1841,188,136576,7867,5238,250,325378,8349,3855,CA-33
0,43203,3965,2878,300,215905,7996,6205,0,257480,4431,955,CA-15
0,74427,7128,5430,269,215735,12591,8878,76,162422,5475,2473,CA-47
133,26837,5520,14766,900,233382,19745,25384,186,141105,4862,2836,TN-08
125,41535,8811,15701,370,291421,26683,23698,100,131705,4723,2670,TN-06
176,114401,14307,28188,87,208379,14800,20715,40,49369,1964,1340,TX-29
0,50784,11273,17209,158,262418,23683,19489,0,93662,3092,1721,TX-27
100,46129,5838,4098,496,268537,19282,10891,78,121395,2425,1728,TX-14
295,62216,10149,11713,384,249276,30265,17749,147,92163,4216,1907,TX-05
0,38735,6733,5790,1272,268780,18639,12190,261,244260,4749,2409,TX-10
55,71947,13717,21491,152,252899,26606,18563,0,129610,6570,3015,TX-35
0,45161,3754,4101,57,258797,12266,8434,155,277611,2894,1524,TX-22
106,45978,9519,11216,391,215325,24091,15507,109,100692,5777,967,TX-19
0,16708,2050,2457,179,204976,18104,5869,339,172408,8652,897,UT-03
0,30484,4691,2334,943,266712,14981,8752,156,149744,5398,1871,UT-02
127,32689,8262,9561,306,268406,25719,16536,103,124976,5909,2157,VA-03
42,34664,12111,13121,248,251547,20024,19952,208,152757,7615,2521,VA-04
23,27447,3092,5186,415,242402,14557,10332,126,178061,3388,2578,VA-02
61,38685,7914,12779,550,251749,23727,22983,319,136057,5776,2409,VA-06
0,25839,2132,2067,49,248738,10360,5906,64,242548,3604,2713,WA-01
33,25337,1766,3291,1321,270392,16968,15907,147,141602,3990,4153,WA-05
0,33944,3119,2367,466,286061,12087,12227,234,172987,3295,1848,WA-02
44,25106,1591,2780,913,283414,13547,15048,183,167588,2855,2895,WA-06
321,38415,6521,20056,1401,216989,19738,26139,67,64248,2797,1860,WV-03
0,28758,2944,5415,568,266659,15561,18128,556,145580,3074,2879,WI-01
182,18837,1086,4960,954,258413,12824,20477,440,192505,3440,3574,WI-05
152,17659,2780,5056,1099,228243,12688,13438,382,226390,4626,2478,WI-02
0,14794,2483,2798,1151,220130,17189,10849,304,104478,5007,2600,WY-00
189,22996,2487,8357,784,268536,15014,30884,175,129360,3372,2935,PA-14
0,30077,4063,6539,1194,191442,11327,13169,122,221235,4018,4175,PA-06
293,25832,4449,16057,2086,250603,20375,32213,293,105813,3634,3039,PA-12
156,17449,1195,3969,865,208963,9659,10657,297,272324,3340,3163,MO-02
0,30062,6177,8787,162,235078,19225,25030,108,156283,6145,3888,MO-01
155,32049,4976,7911,768,274148,26740,21300,158,146100,9474,2642,MO-05
149,23745,2427,3109,908,214859,14257,14892,124,131230,3915,1812,NE-01
22,28135,1133,3174,442,195879,9279,13267,95,179354,5098,2154,NE-02
0,50330,13772,5211,255,284669,27076,17184,69,98054,8163,2218,NV-04
0,25221,2000,3770,626,241483,12088,13936,65,181151,3427,3292,NH-01
82,23018,2255,5407,1105,274074,11959,12033,0,182790,3600,3321,NJ-03
56,21640,2646,4804,606,214293,15821,18561,80,214765,5230,3444,NJ-04
79,40372,4471,9896,739,259735,17873,15962,113,130398,2961,1978,NJ-02
45,19753,886,1298,510,174811,6122,7418,71,283047,3790,2955,NJ-11
36,69305,12031,15829,618,203667,21415,13684,163,181390,3834,1949,NJ-08
48,47232,15679,19517,781,215829,27463,25549,164,83857,6867,2643,NM-02
63,26043,2744,6073,725,220746,18309,16269,241,188852,8861,4373,NY-20
282,29661,6306,11459,1356,255394,17878,23682,492,113650,2775,2845,NY-21
0,42927,3742,2931,158,201678,21875,8990,38,210989,7411,2943,NY-04
109,31191,3557,8934,1396,252082,17048,22490,341,114455,4284,2538,NY-22
164,28488,3309,8502,816,248054,19084,22893,288,149056,3860,3093,NY-19
130,21583,2423,5099,981,267077,16295,20022,277,160978,6107,3277,NY-27
256,75836,10558,12184,333,210611,24567,14151,0,133819,3637,3678,NY-14
41,28379,5396,8364,947,237566,17971,22746,426,145225,4654,3682,NY-24
0,53254,6525,10326,506,220553,12248,10364,185,165936,2844,2739,CA-26
248,75509,4592,6755,301,212068,7062,7312,48,181493,4370,1711,CA-19
0,59835,4129,3397,329,207384,9891,9400,331,161127,3711,3066,CA-24
136,56549,4906,5508,272,262815,12895,13029,255,144584,3927,3099,CA-06
0,60302,3084,2334,334,209759,5935,9118,133,233445,2752,2609,CA-11
47,61440,7404,5974,100,256848,16656,12809,39,73779,2299,1200,CA-08
70,40001,6588,8523,536,192902,11276,13919,315,249332,6439,3182,CA-28
0,47690,9714,9026,416,145670,14787,9150,288,365943,7401,3681,CA-12
0,28980,3906,3560,1546,283951,15572,10008,324,186982,4823,1939,CA-04
0,98287,7263,4140,104,256015,14828,7761,0,79727,2716,723,CA-41
93,39944,3174,2947,256,164541,7326,4156,190,337130,3800,2006,CA-17
156,72649,10901,6144,466,241275,17267,10915,218,114922,3216,1355,CA-38
55,20645,949,4546,1370,278698,12119,10359,419,201713,4148,1612,CO-05
0,47629,5544,4594,310,262261,16052,13812,322,194255,5046,2284,CO-07
73,44304,8395,11151,259,341152,23076,19172,328,220188,4040,2618,DE-00
85,33011,3942,6393,1287,221772,16346,13516,613,180213,5735,3919,CT-01
206,34174,7138,10033,356,225310,15498,16113,810,170371,3397,3498,CT-05
