InTheCivilianLaborForce_Employed_HasAComputer_WithDial_upInternetSubscriptionAlone,InTheCivilianLaborForce_Employed_HasAComputer_WithABroadbandInternetSubscription,InTheCivilianLaborForce_Employed_HasAComputer_WithoutAnInternetSubscription,InTheCivilianLaborForce_Employed_NoComputer,InTheCivilianLaborForce_Unemployed_HasAComputer_WithDial_upInternetSubscriptionAlone,InTheCivilianLaborForce_Unemployed_HasAComputer_WithABroadbandInternetSubscription,InTheCivilianLaborForce_Unemployed_HasAComputer_WithoutAnInternetSubscription,InTheCivilianLaborForce_Unemployed_NoComputer,NotInLaborForce_HasAComputer_WithDial_upInternetSubscriptionAlone,NotInLaborForce_HasAComputer_WithABroadbandInternetSubscription,NotInLaborForce_HasAComputer_WithoutAnInternetSubscription,NotInLaborForce_NoComputer,stateId
400,338118,32101,16133,0,18409,2000,741,121,157027,21902,25301,TX-18
268,374625,14696,10808,0,18400,0,721,593,171030,11342,11743,TX-02
0,350600,33189,9931,0,19314,1052,1233,405,159403,24140,22626,TX-20
438,404200,28067,4412,0,13048,614,145,639,199372,14261,10005,TX-21
0,417114,16310,7118,0,24840,1079,629,220,190547,7985,9554,TX-31
330,365263,15487,8858,0,14353,795,184,593,179369,10986,13668,TX-25
199,390482,18043,5368,0,15340,393,123,247,154145,11228,7259,TX-32
0,458824,17674,2231,0,19958,78,0,110,192069,7727,5029,TX-03
430,311504,25242,10798,0,12009,993,444,323,183431,21530,26270,TX-04
19,290330,25009,8926,0,9095,982,378,428,147711,16459,20932,TX-13
0,480165,12068,3724,0,15131,129,0,169,180074,6257,5910,TX-26
31,339295,20571,16252,0,21826,1508,1201,279,162744,16419,14815,TX-09
1086,291112,23587,7292,104,9192,1489,256,1923,129181,14392,19693,VT-00
651,369429,11763,3120,0,9949,134,346,640,150279,9129,8004,UT-01
226,412306,16957,5272,0,15522,953,430,1069,145497,8529,6863,UT-04
212,377530,20650,6302,53,15132,966,143,350,177029,14917,14601,VA-01
203,435932,11882,2519,0,11848,1156,52,430,171053,9438,7606,VA-10
979,287185,31214,16183,0,11301,2170,340,894,162935,22740,42136,VA-05
58,383847,17513,6630,0,14986,726,443,569,170498,12449,17447,VA-07
0,424394,10398,2091,0,14969,458,0,486,151873,4225,4948,VA-11
757,251549,23666,10872,0,10947,1368,871,1009,179047,30237,45214,VA-09
261,441957,13597,7093,0,13366,867,444,238,141064,6375,8839,VA-08
107,330297,13286,3599,0,16610,1423,77,826,200136,16149,15065,WA-03
235,339783,14956,5337,0,17903,963,864,305,183302,10952,11869,WA-10
337,302019,14769,4117,0,18281,911,1036,683,166227,11235,17864,WA-04
69,475973,13219,2236,0,15766,630,77,717,147362,7319,11864,WA-07
130,396622,8535,3143,0,15329,575,575,347,154982,7945,9846,WA-09
385,367419,12686,2207,0,13584,931,261,877,173843,10612,8513,WA-08
698,239990,14253,7181,0,12805,1440,811,1207,156172,17410,28579,WV-01
687,248243,14306,7359,0,11253,2290,341,1114,163921,14050,31611,WV-02
581,335424,14086,9924,0,9269,619,474,2133,146415,12612,27456,WI-03
177,288398,25065,13796,0,14538,2073,486,714,138574,20831,25578,WI-04
1830,320023,21366,9977,91,8682,1550,314,3124,155568,16159,30992,WI-07
1558,345388,13023,8176,0,8731,655,177,2297,141998,9248,28688,WI-06
1051,359142,14708,8425,0,10047,1028,295,1647,144990,10753,25435,WI-08
17958,854471,80199,87590,2454,128291,13485,27140,19783,888731,156205,386216,PR-98
225,300279,25250,11546,0,13498,1017,748,378,176484,22757,39389,MS-01
35,276745,28552,10412,0,13887,1938,980,1127,162152,34051,32870,MS-03
146,277647,29518,11614,0,22815,3239,1588,729,177818,29574,34995,MS-04
128,215440,29035,19232,57,21426,4629,1678,327,145165,30107,46302,MS-02
90,329663,11379,7954,0,17954,1073,395,102,149147,11824,28350,PA-18
1007,334072,14102,9098,71,14309,1467,616,1122,155996,14470,25245,PA-07
349,284158,15771,11135,0,24621,1864,1617,352,160217,21234,27182,PA-02
213,352424,9252,7871,0,9880,575,955,493,157792,11017,23286,PA-17
88,368149,8558,3251,0,14187,981,74,561,155959,8363,14657,PA-01
991,297362,13716,14235,56,9420,611,198,1653,159651,13324,36428,PA-13
270,286566,12725,11054,0,14002,675,300,1235,157251,14558,29190,PA-16
1213,308741,11624,6685,15,14911,560,673,1584,169023,13043,26743,PA-08
245,349732,12555,10576,0,11458,1051,753,915,150385,11706,25047,PA-10
1259,337602,13524,19169,0,9881,578,204,1634,144102,14611,29279,PA-11
581,315574,14332,9367,25,11308,732,498,1391,146347,14121,33766,PA-09
129,375690,6661,2743,0,12388,377,295,344,151151,10913,13713,PA-04
645,277053,15715,12202,27,9883,1071,1234,2156,154640,14779,40742,PA-15
124,326461,14205,6365,0,18455,610,1075,338,155209,11111,17272,PA-05
463,320870,17159,9100,0,25007,2247,2529,510,157988,17750,32407,PA-03
289,316320,24504,12176,0,11637,1350,895,1474,180443,22071,36507,MO-07
268,339876,20651,8544,325,10661,1227,260,1302,160489,19497,25180,MO-06
625,281827,18085,10254,0,13834,905,733,1071,175027,25077,37063,MO-08
293,371077,18189,5710,30,11567,932,605,1143,174877,13834,18632,MO-03
842,307716,27189,10936,0,13768,748,276,1330,171245,20887,25839,MO-04
1796,475831,25437,9976,92,18289,1665,932,2856,244421,23930,33730,MT-00
1447,273762,15388,9142,190,6123,858,527,1182,107762,14110,24066,NE-03
50,279850,37309,12104,48,17430,2944,254,338,153236,27629,25167,NV-01
168,416585,20493,3697,0,18380,1457,30,272,200550,16131,13451,NV-03
212,342140,18297,5182,100,15109,1066,295,756,175283,10739,15284,NV-02
653,335118,11565,7700,13,9381,353,97,967,147127,10393,16499,NH-02
229,348611,11369,5873,71,19268,334,278,830,152554,11729,20878,NJ-01
45,342500,17699,7767,0,23184,3337,980,286,148018,18047,25381,NJ-10
347,365657,5815,2669,0,12698,220,444,719,174845,6689,15051,NJ-05
216,381426,5114,4151,0,18175,271,30,542,158675,5382,13288,NJ-07
89,376915,10394,7091,0,15078,844,233,160,164260,10359,20775,NJ-09
235,354245,15742,5366,0,13859,947,389,755,152247,13994,13789,NJ-06
36,347035,12646,4028,0,21228,1216,423,287,168541,13391,14293,NJ-12
1484,291853,26446,6886,0,15289,1826,376,710,164055,19000,22663,NM-01
1330,247145,29084,19480,0,13425,2123,1445,883,156464,31359,41405,NM-03
78,366388,7759,3275,0,9851,100,158,257,159728,7844,10108,NY-02
455,331392,13588,5974,0,15285,1044,280,531,152728,14470,23353,NY-25
148,358070,7261,1914,0,11228,956,63,212,186628,8762,12925,NY-03
150,359958,12894,12109,0,13262,459,268,676,136395,12145,30047,NY-10
0,347436,10332,10796,0,25277,2284,1472,256,148034,15441,36481,NY-13
183,321983,12547,8765,0,11678,1276,601,332,156097,13532,29271,NY-26
242,328043,16380,10958,0,15055,1106,732,139,154348,15071,24042,NY-09
89,344364,7753,5736,0,12220,102,0,346,168315,6543,16910,NY-01
491,311385,24024,12880,0,15514,909,552,319,135332,22080,28066,NY-07
57,339470,9805,9812,0,16809,441,700,674,159162,8431,15449,NY-17
1243,324462,22591,5899,0,11915,991,258,318,172165,16826,24115,NY-06
164,336986,17475,6871,50,20245,1546,825,413,181490,18420,17606,NY-05
