InTheCivilianLaborForce_Employed_HasAComputer_WithDial_upInternetSubscriptionAlone,InTheCivilianLaborForce_Employed_HasAComputer_WithABroadbandInternetSubscription,InTheCivilianLaborForce_Employed_HasAComputer_WithoutAnInternetSubscription,InTheCivilianLaborForce_Employed_NoComputer,InTheCivilianLaborForce_Unemployed_HasAComputer_WithDial_upInternetSubscriptionAlone,InTheCivilianLaborForce_Unemployed_HasAComputer_WithABroadbandInternetSubscription,InTheCivilianLaborForce_Unemployed_HasAComputer_WithoutAnInternetSubscription,InTheCivilianLaborForce_Unemployed_NoComputer,NotInLaborForce_HasAComputer_WithDial_upInternetSubscriptionAlone,NotInLaborForce_HasAComputer_WithABroadbandInternetSubscription,NotInLaborForce_HasAComputer_WithoutAnInternetSubscription,NotInLaborForce_NoComputer,stateId
363,372247,18944,5178,0,14523,1220,68,462,152899,11091,15850,MD-06
164,393929,11352,4541,98,15601,784,248,305,163073,10526,9454,MD-08
249,386701,7615,4486,38,12038,1141,403,494,156397,7873,18976,MA-04
195,423888,16198,8748,0,18256,1097,863,348,132415,14604,23450,MA-07
924,366880,13410,4729,0,15684,516,439,516,153850,13264,19257,MA-02
118,359067,9059,4485,0,12832,1104,459,484,184893,14294,20146,MA-09
48,411516,15224,4258,0,13523,1549,337,313,150286,12202,15210,MA-08
185,319612,19325,11098,0,15250,825,604,700,157140,19855,25857,MA-01
674,408336,6752,5778,0,12411,345,363,854,149245,6114,14329,MA-05
597,282469,16994,8508,25,14061,1332,755,1076,186361,17083,33510,MI-01
746,337631,19074,7570,0,11941,1311,260,621,152578,15158,24734,MI-02
253,280162,15473,9335,41,21003,3595,1158,329,158682,18818,25847,MI-14
85,352231,15490,6512,0,14770,1837,208,862,154037,10643,23099,MI-03
378,264596,14099,6622,0,18869,2422,1828,816,178469,19139,27904,MI-05
406,253298,23080,6473,294,21394,2388,1966,355,148025,25481,29225,MI-13
173,357491,10765,5009,43,16494,470,489,778,169169,10727,19130,MI-09
276,355699,12771,4355,0,15062,1330,628,636,169693,10983,14144,MI-08
819,299714,22818,7761,109,9234,560,1075,1346,125113,14657,27184,MN-07
380,375303,14158,4404,0,10986,444,121,855,122658,8664,13520,MN-06
528,335196,12185,6594,0,7630,376,262,1073,121155,11378,19308,MN-01
190,388284,8435,2419,0,9744,216,0,517,144554,9197,10515,MN-03
349,382200,21578,4296,0,12858,1891,532,677,111445,16686,16334,MN-05
608,338154,17963,8610,0,13748,1168,784,529,182703,19431,25156,NC-13
477,340404,15731,6953,0,13169,1857,1145,584,184864,18886,26259,NC-09
477,360811,29081,9303,0,9191,982,233,950,122682,15819,22831,ND-00
326,334290,11357,5682,0,13559,575,469,231,161338,17169,27085,OH-02
276,270176,18752,11831,0,12417,2120,572,681,169932,18022,41549,OH-06
982,317473,16308,7939,45,11200,663,720,1045,153576,16702,22205,OH-04
320,348249,11704,9818,0,10733,939,76,674,161044,11554,21657,OH-16
156,258072,39460,6583,50,22445,8517,1141,572,133622,33250,30847,OH-11
79,327847,12707,6748,0,14271,610,327,558,171880,12270,20153,OH-08
158,364582,18242,8371,30,17769,935,751,349,176882,14072,16856,OK-01
20,353691,21852,10141,0,14471,2096,994,352,174910,18647,24392,OK-05
738,443939,14793,3318,0,19355,914,159,1089,176402,13741,15620,OR-03
637,351457,13304,4266,18,20249,1084,807,1059,238428,16565,21903,OR-04
276,247755,8256,6142,0,9822,844,931,286,110565,13661,16816,RI-01
242,280344,21608,8914,0,12562,1440,881,483,171218,22903,28924,SC-03
0,277097,29673,10524,0,14031,1674,767,90,201765,27614,32663,SC-07
621,222674,41876,11577,26,14844,3008,1596,779,140237,29925,29585,SC-06
71,307120,15644,8694,0,18233,892,945,457,180642,20038,35114,TN-03
3499,266856,22352,10611,0,14569,2277,1347,1732,180671,26730,31879,AL-01
345,277807,22541,9098,0,14731,2214,1689,1123,167994,27793,29151,AL-03
638,306111,21682,10389,0,12523,1714,467,409,183225,15454,23350,AL-05
298,259388,19179,14720,0,10760,1511,982,719,169965,20066,43694,AL-04
119,237165,22903,12682,176,14951,3012,1201,924,151756,24794,42096,AL-07
342,255933,18009,9685,0,11295,608,1312,856,164078,19959,30242,AL-02
230,321317,11691,5432,0,10527,601,371,919,167166,12006,18494,AL-06
319,303094,18510,4036,14,17127,2622,748,551,154857,16123,11797,AK-00
560,249910,30009,12985,27,14317,3536,1982,813,198618,34059,40088,AZ-01
62,311447,22197,8535,39,24080,2731,1794,731,166255,17983,20402,AZ-03
395,394394,10949,3829,0,14409,941,749,313,208037,12246,10706,AZ-05
382,287084,14615,4634,0,13269,3443,476,1540,287714,23047,22337,AZ-04
113,324984,51772,12991,0,19733,2368,108,566,152021,38407,16690,AZ-07
0,305656,14114,4610,0,14399,1010,629,529,207117,16253,17119,AZ-02
349,386877,26097,4392,0,13609,1113,206,464,212665,17692,9718,AZ-06
181,339160,8676,4337,0,15228,1075,402,856,239477,12458,10979,AZ-08
430,345561,23735,8415,0,15616,3163,396,838,187135,21259,25224,AR-03
366,321785,20930,8313,0,11362,1049,896,431,178745,18196,28522,AR-02
264,280933,14397,4717,0,21379,1673,37,191,244683,19009,19934,CA-36
130,346320,20356,7376,0,12693,1877,1853,200,150007,13095,8623,CA-46
183,343715,9604,2216,41,14629,235,0,260,172621,9058,8811,CA-33
53,391266,8649,2669,0,13431,396,337,296,179951,8049,7226,CA-15
121,342421,14478,4248,0,16015,715,635,224,165523,12288,12296,CA-47
129,293852,18628,10192,0,10642,707,999,1090,161049,16585,32240,TN-08
25,334320,26631,9439,86,10959,1312,436,484,192099,19839,32553,TN-06
173,292629,17807,26762,0,18212,1722,1514,300,155898,17066,28870,TX-29
158,293473,19950,11597,0,15027,400,1158,0,175987,22193,27083,TX-27
192,323469,15332,6074,0,12564,435,644,482,179899,15295,11383,TX-14
198,310994,29488,12732,0,12882,1411,804,640,157918,20956,20394,TX-05
485,444682,18668,6798,78,18349,1145,696,1048,176863,13595,15381,TX-10
73,378953,32923,19045,0,15205,1911,619,134,149681,25476,28403,TX-35
101,458227,9840,7250,0,15546,716,0,111,208424,10655,7859,TX-22
305,294582,29759,9054,83,8267,524,56,218,142626,21468,19907,TX-19
277,342596,31352,2892,0,11186,1663,280,363,150753,12979,6570,UT-03
555,364744,19037,2111,11,10160,298,212,511,167235,12405,10816,UT-02
173,308698,24845,7222,0,18920,2397,745,363,152862,18030,21431,VA-03
159,337092,21825,10196,0,16810,2104,840,339,153816,19884,25702,VA-04
202,322790,10099,4598,0,13427,585,425,362,148645,11044,13592,VA-02
290,325918,25118,9974,0,10412,1459,362,640,165221,18844,28701,VA-06
113,393154,8604,3814,0,13208,1251,34,0,180733,8383,7579,WA-01
159,308156,12984,4019,0,18091,797,132,1342,185431,13271,19441,WA-05
107,360060,9597,3145,0,15178,672,288,593,189647,10709,13475,WA-02
164,304488,8978,4506,27,15728,725,64,949,206346,10322,16280,WA-06
433,184868,11881,9307,68,14296,1741,1256,1328,169431,19106,38217,WV-03
388,336122,12562,6871,0,14842,398,461,736,159461,10891,19502,WI-01
859,377498,10270,6845,0,12328,172,541,717,149952,9179,22546,WI-05
675,408094,15020,5307,24,8553,451,157,1077,144757,11142,16037,WI-02
574,261431,14082,4852,0,8344,1304,426,881,124466,12874,13016,WY-00
251,297594,9506,7109,98,15013,778,411,915,165377,12762,35613,PA-14
256,350059,10564,8052,0,14078,1046,325,1060,153268,10136,16362,PA-06
1169,281651,16684,15962,30,11211,989,588,1624,156749,17297,38605,PA-12
213,383471,6130,3069,0,10337,297,221,1105,175316,8114,14707,MO-02
48,333145,16893,9578,0,16654,1277,1601,222,143371,17060,27977,MO-01
197,359862,27972,6790,71,12953,1034,565,813,153035,15794,25891,MO-05
304,322111,14081,4525,15,9004,398,325,916,112071,11316,15222,NE-01
173,343453,9289,4961,0,13068,915,502,481,112662,8448,13928,NE-02
0,299035,33404,9124,0,17681,2170,641,324,186040,22552,16689,NV-04
209,354162,11960,4789,86,10938,637,358,460,147842,7914,16006,NH-01
826,348633,8253,4339,0,17202,346,179,741,175063,10382,16770,NJ-03
46,332913,13215,7887,0,12112,720,453,696,174855,15035,21071,NJ-04
266,308940,14071,7549,0,18448,1229,1052,665,165701,14503,21061,NJ-02
0,370620,5817,2115,0,15253,485,25,626,158539,5373,9603,NJ-11
734,372310,25585,9502,47,14647,1037,403,36,137025,17198,23416,NJ-08
336,233919,29379,13997,0,15170,1128,1031,657,169305,29810,35323,NM-02
282,341745,17681,7444,0,13648,1548,697,747,153456,15990,19939,NY-20
1004,271997,15668,9328,38,10307,2055,887,1150,167238,13857,30431,NY-21
0,352033,20603,2861,0,13310,551,193,196,159633,16095,11810,NY-04
802,287481,14670,6908,0,12766,1277,115,1173,167759,13281,27747,NY-22
597,310337,14678,8273,36,10182,750,1356,950,164977,14555,26383,NY-19
470,338236,12309,8015,0,11478,505,289,1058,164043,13791,20856,NY-27
288,318153,24445,8943,0,15106,1507,651,544,146050,15801,21623,NY-14
521,312865,17301,9073,0,10948,867,1244,982,149689,13828,25858,NY-24
0,328161,12896,9742,0,13424,725,638,691,170414,10146,14872,CA-26
154,367272,10458,4037,0,14093,184,282,443,163257,8033,11907,CA-19
213,332862,11155,3548,0,12741,232,171,585,181508,10732,12579,CA-24
76,350985,11468,6775,0,20917,259,544,587,173589,13331,16718,CA-06
290,369056,6255,2828,0,16043,246,57,278,195374,7303,11284,CA-11
0,245334,14768,3719,0,22394,1056,1040,186,198390,14591,16706,CA-08
485,367068,11855,6836,56,20908,803,437,380,145697,13313,18595,CA-28
301,455663,17266,3623,0,15246,2619,98,576,139470,13926,18136,CA-12
417,323162,12500,4640,183,14179,467,243,1453,223832,13775,11707,CA-04
42,335353,14550,3095,0,18679,964,333,104,183826,14197,9811,CA-41
173,430222,7891,2181,0,15036,311,480,366,168855,7800,6954,CA-17
172,317987,19964,4546,0,14786,1118,274,668,170391,15135,15095,CA-38
811,364035,9431,4563,224,20230,285,294,1166,186736,9838,11800,CO-05
453,415963,17749,6998,0,15915,1137,190,179,157689,11737,13674,CO-07
278,432707,19611,9078,0,20346,1208,657,382,233711,17874,25833,DE-00
1149,340611,15943,5717,0,16822,592,565,886,145383,13438,18240,CT-01
922,335756,15308,6282,46,17502,1733,612,698,142860,13819,23919,CT-05
101,404695,14105,3936,0,16965,851,235,105,181149,16439,13874,FL-14
170,362689,20457,5446,0,17652,2672,192,343,268970,23900,18554,FL-16
482,350850,23190,5294,24,14906,777,331,293,201775,21065,15281,FL-15
233,326842,19783,3459,0,14149,1098,239,792,249364,25089,19401,FL-12
88,267722,22827,5550,0,12020,1112,640,524,194303,23621,19637,FL-02
200,343142,22901,7573,67,14016,1020,622,1158,222821,23093,19537,FL-21
28,370422,22985,5907,0,19212,2257,486,465,163519,14996,10529,GA-13
876,212073,27874,18430,0,20826,3855,2075,691,136857,27090,37418,GA-02
379,301880,17912,8831,0,16170,357,545,625,169875,20610,26424,GA-14
0,266793,34104,10071,0,14332,2074,1871,473,158277,28334,27946,GA-12
528,410890,16633,6741,0,10637,769,397,2239,223906,17798,20227,ID-01
135,290628,16098,9292,0,11064,1568,607,620,163164,9831,18122,HI-02
353,303934,17860,6922,0,10613,2225,532,1083,154073,17401,24234,IL-18
36,371433,6032,2593,0,12251,350,40,679,152334,6828,9207,IL-14
58,316519,13076,6647,0,15908,1490,151,567,155390,13524,21947,IL-16
444,274108,15673,10573,8,15290,1714,1479,1528,141972,18175,31281,IL-17
125,309976,13030,7772,45,18392,881,745,681,156227,18608,23024,IL-03
0,357165,17107,5661,0,14964,1180,185,204,140394,9472,13441,IL-11
658,284609,15922,9547,0,10361,772,934,932,153194,15614,31817,IL-15
343,299144,22733,13876,0,11550,698,503,1093,150772,16901,26337,IN-02
360,312759,19805,10320,0,11979,1061,260,2582,157509,15571,29111,IN-06
594,332198,18065,18790,0,11425,770,1043,825,142011,14358,29247,IN-03
470,342007,25465,6871,0,10744,1120,853,1856,155587,18521,19955,IN-04
815,338745,24462,11354,0,8135,1352,369,2112,134230,19017,28465,IA-04
154,402849,28107,9660,0,15568,1658,1017,1343,149273,15595,21651,IA-03
265,319530,18229,6834,5,14762,2671,632,343,147388,15953,17790,KS-04
617,311197,19123,9683,0,15894,999,480,1034,184615,19134,28492,KY-02
117,342667,16939,7435,58,14993,749,1256,750,164055,11596,21420,KY-03
256,340205,24336,8920,96,9642,1461,288,1275,162143,17743,23082,KY-04
468,363545,18874,6088,0,15059,1457,681,453,187042,13714,20098,LA-06
228,308966,16547,11817,0,15340,1879,1327,452,188556,16478,37011,LA-03
0,391293,13203,5625,0,13445,1469,282,723,162355,11169,16289,MA-06
181,382057,15402,8054,100,16973,1388,515,518,153185,10565,19892,MA-03
