Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
2832,415,4466,843,1833,80,2708,2329,2820,1128,2365,463,2323,666,1117,51,856,0,FL-26
184,0,1922,1254,440,760,833,682,3210,477,1101,467,1303,241,956,0,480,142,FL-22
2645,271,10603,792,4435,2105,3779,1214,7660,2015,7521,2309,4823,2724,3707,0,2839,153,FL-09
3109,208,5308,1110,585,738,3851,1406,3003,1034,3759,1329,2006,119,1368,0,793,0,FL-19
1778,79,2742,949,961,883,1983,1284,1290,1692,977,799,777,0,710,0,0,0,FL-01
3169,123,9078,1220,3247,1517,3723,2223,8840,1054,4563,1894,2707,676,2706,0,1811,66,FL-07
2356,643,3635,1807,2218,1314,2306,1672,3159,2402,2182,1427,1322,867,2122,0,1398,0,FL-27
1716,0,1601,1313,983,219,860,621,2281,913,666,43,508,0,442,0,104,0,GA-03
1540,0,1410,0,166,697,367,1503,510,676,768,766,455,0,547,0,104,0,GA-10
2308,654,6266,2830,1127,3203,1221,3934,1080,5385,2025,1764,700,402,195,80,0,0,GA-04
1525,0,2665,0,762,510,1470,725,1149,561,1285,594,1213,492,155,47,0,0,GA-05
1698,522,4117,741,1971,938,1205,905,1722,1665,1061,223,500,190,629,0,75,0,GA-09
7290,1419,9479,4286,1734,3942,2298,4979,4973,6314,5507,4795,3035,2485,1503,0,865,0,GA-07
1058,176,4942,1094,1127,1329,1762,835,2528,1706,1480,1798,1351,1624,283,0,526,0,GA-06
2341,77,4049,0,1403,297,956,1737,651,703,1931,771,636,414,774,0,208,0,GA-01
3166,682,7821,2887,1514,2266,1942,4827,2153,3272,2540,3163,919,995,393,122,296,0,GA-11
1742,329,3717,1110,941,868,199,601,584,2043,347,767,373,94,52,0,169,147,GA-08
1880,171,3712,730,4091,731,3203,1565,2054,1028,2435,695,2660,399,676,0,154,0,ID-02
,,,,,,,,,,,,,,,,,,HI-01
1272,178,4294,248,1654,111,3792,341,2198,698,1691,138,1173,0,539,0,407,0,IL-01
6015,214,11190,943,4036,1744,7480,1438,4937,1831,4649,2433,2650,1393,1066,254,594,151,IL-07
1228,0,4600,542,1962,754,2677,1097,2523,546,2758,415,1297,0,203,0,397,0,IL-02
4165,77,12260,397,4416,186,8331,912,3599,1694,7099,1489,4528,855,1667,58,1537,48,IL-05
,,,,,,,,,,,,,,,,,,IL-13
3425,0,5494,59,1510,412,2215,1104,1905,1072,2192,442,890,0,442,0,684,0,IL-06
8239,385,14685,1028,6573,1835,6270,2807,5037,5000,6295,1800,4277,1317,953,126,405,0,IL-10
16790,445,38596,1966,19571,6337,17207,7272,17215,12999,15732,7800,18244,3513,8672,58,3100,340,IL-04
2577,0,4240,645,2956,200,1502,699,3037,1950,2902,1888,1170,358,726,0,486,0,IL-09
,,,,,,,,,,,,,,,,,,IL-12
7558,450,17592,2659,6165,2375,9140,4919,5947,5294,8012,3640,2821,1668,1113,164,933,43,IL-08
,,,,,,,,,,,,,,,,,,IN-09
,,,,,,,,,,,,,,,,,,IN-08
3222,103,7745,1712,3394,1271,4251,1115,4485,1709,4509,887,3095,374,2642,0,1243,0,IN-01
,,,,,,,,,,,,,,,,,,IN-05
1942,496,5251,1645,1791,965,2660,2134,3017,1575,1493,1378,626,189,181,54,84,0,IN-07
1160,0,1002,436,490,229,1043,258,968,287,52,0,158,513,15,0,0,0,IA-01
774,31,1986,237,702,189,1174,320,391,520,1461,0,763,117,104,56,26,0,IA-02
3078,232,6353,1166,1739,1014,1956,823,3130,1024,2170,758,1580,443,1150,0,255,0,KS-01
1256,837,4896,2110,1335,961,1408,3151,2842,2419,2080,1141,1018,970,691,0,571,162,KS-03
538,94,3043,351,825,705,728,636,1215,728,567,1141,777,437,322,0,221,0,KS-02
1380,0,2813,488,482,952,1050,755,768,2045,781,391,924,93,102,87,0,68,KY-06
,,,,,,,,,,,,,,,,,,KY-01
,,,,,,,,,,,,,,,,,,KY-05
,,,,,,,,,,,,,,,,,,LA-04
1975,0,3050,941,865,842,666,873,2419,1821,1014,302,1036,154,810,0,300,0,LA-02
,,,,,,,,,,,,,,,,,,LA-01
1109,0,1524,329,521,297,344,927,390,549,758,748,353,0,251,0,0,0,LA-05
,,,,,,,,,,,,,,,,,,ME-01
,,,,,,,,,,,,,,,,,,ME-02
,,,,,,,,,,,,,,,,,,MD-01
1205,0,3612,422,1806,500,2287,710,4130,1313,1777,126,2156,118,798,0,500,177,MD-03
14385,766,19864,3541,3803,3766,4424,7899,9684,10139,3880,4865,4443,2249,1558,762,806,0,MD-04
4540,0,8939,722,5203,761,3003,2403,3013,2247,6360,1122,2024,577,1607,0,320,0,MD-05
,,,,,,,,,,,,,,,,,,MD-07
2602,0,5627,1963,819,1066,1833,1202,3035,1000,1387,512,614,0,422,276,302,0,MD-02
1914,136,4405,116,1019,866,2181,1103,1885,2733,2478,193,1973,376,2070,0,237,0,MD-06
10846,256,14583,2908,3501,4519,4246,7609,6210,7180,5465,5000,2927,2252,2094,92,1567,0,MD-08
,,,,,,,,,,,,,,,,,,MA-04
2706,217,6421,284,6359,910,7141,991,5690,546,4804,221,6114,374,1514,127,642,0,MA-07
1350,0,2529,88,2430,167,1943,48,2262,186,2894,35,513,49,682,0,589,0,MA-02
3411,182,7023,484,2794,248,2439,953,4734,203,2202,148,2788,42,1148,0,735,0,MA-09
1659,68,2091,0,2140,191,2912,53,2735,61,3728,279,1794,336,1124,0,411,0,MA-08
