Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
1581,0,2091,41,1388,303,1791,73,1184,158,911,85,1178,146,569,0,745,0,CA-40
4499,0,8471,244,3555,180,2272,383,2643,241,2360,107,2087,50,768,0,547,0,CA-41
8005,163,16115,672,3813,432,4894,791,3727,51,3058,80,2233,56,883,0,464,0,CA-42
5653,0,9430,109,3570,319,4845,171,4022,263,3313,185,2255,109,1017,56,444,0,CA-43
4706,151,7726,253,2442,205,3430,430,2258,260,1552,326,1004,200,1150,0,732,0,CA-44
6748,51,11410,51,4000,791,3807,167,3017,227,3420,459,2597,208,893,0,842,0,CA-45
2525,69,4738,293,2194,181,2694,226,1775,201,1649,102,1289,0,794,0,567,67,CA-46
5396,0,7929,343,3320,60,2741,825,3706,398,2220,249,1389,55,926,0,420,39,CA-47
5676,0,8393,351,3156,153,5207,373,3721,264,2882,0,2327,54,1943,0,534,0,CA-48
6778,0,13541,177,3932,237,3610,255,4414,460,3647,357,1930,0,1225,57,479,0,CA-49
7821,64,13680,295,3662,311,2808,82,5692,539,4157,273,1780,443,1027,0,1650,0,CA-50
3134,38,5461,282,2862,300,3774,738,2886,443,2118,64,1454,78,1403,0,308,33,CA-51
8536,0,14590,64,5119,634,6180,132,3374,269,2673,85,2224,83,1349,0,684,0,CA-52
7272,0,11165,884,5675,121,8889,1135,4327,116,2066,400,2792,40,1255,71,437,0,CA-53
5957,298,9050,0,3489,294,7373,1221,4934,122,2127,417,1536,43,581,0,745,0,CO-01
2625,202,6526,443,4439,50,2038,597,2097,62,1882,620,1633,170,1084,0,486,0,CO-02
2738,25,4420,78,2182,369,2218,588,1544,100,1816,240,1609,174,1956,0,492,3,CO-03
3640,72,8144,1211,2975,208,2440,223,2474,481,2412,0,1206,30,995,0,442,0,CO-04
8793,471,15706,391,4483,804,5461,900,3752,127,1898,205,1121,228,969,0,213,0,CO-05
6678,141,11035,783,3452,122,4286,747,3234,0,2955,56,1262,132,769,0,529,0,CO-06
4847,141,9568,586,3220,854,4677,602,3961,946,2125,589,2132,112,1644,0,411,0,CO-07
