Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
20697,283,44155,1457,28472,1656,39059,3203,43974,2529,44512,1919,49494,1868,37626,170,25198,200,VA-11
32313,1048,80335,4941,53543,6150,50760,7473,58565,9051,71202,9645,82881,7929,79221,146,56793,85,VA-09
27425,981,49150,1947,29813,1149,65626,2270,58259,1839,49333,2877,47395,1170,37254,185,26184,42,VA-08
36451,502,85963,1973,38459,3645,60906,6626,68873,5571,71297,5660,83479,3985,76029,32,46685,83,WA-03
29478,753,63152,1714,33157,3087,52881,5980,57756,5303,58333,3608,67985,3987,56523,87,37275,61,WA-10
24476,844,54432,1745,22464,2011,37406,4570,43434,3329,40935,3372,56098,2995,50721,326,34526,0,WA-04
26611,440,53369,483,45328,2056,95349,5131,83021,2776,68126,2800,63366,2505,51558,232,32593,160,WA-07
15336,0,31957,1110,22515,593,50511,3261,39170,2520,41645,1242,49624,1851,35892,492,28119,0,WA-09
34303,512,78016,2093,34103,1873,52180,3614,66509,3499,70175,3838,74198,4580,56312,409,36740,77,WA-08
31125,720,75345,2506,52181,4294,49349,7436,60697,4889,65192,6297,72616,5593,67531,63,46499,12,WV-01
34074,871,80286,4031,34549,5588,50560,7252,59808,8056,64570,7580,80096,4509,67220,534,44535,103,WV-02
38835,1808,95428,5129,68107,6587,59500,7143,67573,5279,71487,4478,91038,4347,74945,190,50710,17,WI-03
14152,369,30326,173,29198,1184,44857,3807,33959,1882,33800,1540,39493,1933,31442,0,21552,0,WI-04
35571,3156,93051,5069,35889,4667,54321,5870,65610,7223,78292,5603,103786,6147,82762,189,58321,122,WI-07
35231,1686,89065,2856,46861,3954,55293,5027,70493,2873,78140,3178,95349,3795,74815,179,53842,0,WI-06
37569,1263,92258,3116,41798,3881,60840,5791,71671,4864,80017,3657,96611,4497,72100,7,49277,15,WI-08
2719,159,6176,373,3771,97,4170,1112,4083,363,4875,572,5207,845,4100,41,3527,0,PR-98
30992,2305,75366,5231,35047,7382,41444,12056,50124,10850,56824,7741,60463,6868,55658,56,38624,61,MS-01
27870,191,59961,4749,33602,5542,35638,8484,45058,8152,46401,5734,53894,5717,50235,0,36865,197,MS-03
31869,1717,77676,5748,33208,7270,40743,16587,49682,12649,55421,10386,65644,9533,59735,148,40664,0,MS-04
10036,918,26235,2654,11221,3358,12983,4246,15109,4903,19837,3865,27040,4309,28664,122,21171,18,MS-02
24287,297,51018,1072,48449,2374,69200,4621,55044,2141,53430,2499,70562,2668,56570,286,47403,53,PA-18
22279,873,64513,1176,35721,1713,48058,3340,51976,2300,62926,3097,79100,3805,62129,43,49286,36,PA-07
17763,382,27550,2764,13926,702,36635,5308,32156,3751,29850,2848,36072,3991,29300,98,23678,0,PA-02
36726,272,78929,2030,34046,1244,65517,5110,72444,3142,75264,3042,96885,3692,77208,7,55375,0,PA-17
30187,492,81815,1242,40105,1981,52708,4231,61528,2815,77632,3771,96505,3159,69253,184,50850,172,PA-01
31734,4104,85860,6636,42209,5856,51036,8313,63314,5882,75754,6597,92627,5916,78718,815,59841,124,PA-13
33102,1480,80656,3173,47629,3793,54153,6258,61133,3480,72926,5661,87577,5579,73491,199,53581,73,PA-16
25743,1415,65509,1136,38117,4502,48517,5372,54218,4503,67363,4733,83009,3578,72033,82,53292,14,PA-08
30295,1096,69906,2800,35533,3011,57469,4364,58082,3723,68365,4290,80969,3748,64481,188,47920,108,PA-10
33273,7348,84362,12587,38395,7524,60503,8637,60844,8344,70076,6195,81666,7079,69237,1462,53582,548,PA-11
31585,2414,83233,3576,43020,3387,56027,4414,60044,5067,78937,4440,93238,4613,75942,472,54330,210,PA-09
32080,297,79721,516,38438,1533,55753,2122,63514,2680,68799,2476,83171,3056,63308,220,48293,0,PA-04
34125,2949,83537,5716,46711,4637,57246,5185,60943,6199,77011,5713,94193,4511,77525,363,57342,114,PA-15
24504,210,56735,1767,35966,1139,44684,2984,47101,3378,52467,3166,66555,2387,49538,72,40954,0,PA-05
10133,0,15511,569,33082,1283,56605,4119,29399,1775,18155,1363,21158,827,20727,0,13887,0,PA-03
40988,4397,98027,9685,47776,18000,61776,16769,64560,15331,68500,12338,82418,11264,74757,362,55635,39,MO-07
43646,2903,105368,5522,46725,7876,59750,10777,71158,9405,74938,7117,85823,7059,71154,227,49941,84,MO-06
40981,3274,98608,7690,38854,11603,51577,16003,61920,15976,66859,13105,82970,13044,73816,864,53900,120,MO-08
48333,2211,110395,5121,47926,7617,71363,10129,80357,9893,82157,7671,97480,6855,75786,148,48213,0,MO-03
40450,5348,93079,8916,56345,12147,54984,13294,63219,12722,66872,9769,80697,9152,69265,398,49904,40,MO-04
52560,2017,127993,6162,70706,7614,88302,11553,100283,11312,90628,11116,123814,12163,115385,245,74032,50,MT-00
31397,1380,75614,3905,32585,3739,42480,6242,49005,7465,48306,4634,68437,6617,60763,124,48843,144,NE-03
6821,198,11268,1329,9311,2382,16674,5222,17481,3348,23029,5373,33270,5213,32199,536,22462,46,NV-01
25718,944,57778,2295,21900,2625,51003,7469,60893,8136,63559,5484,57819,4862,56858,210,41027,87,NV-03
25441,1671,53961,2553,31761,3674,48961,7587,51176,4171,52517,5520,71741,6122,67467,178,40707,0,NV-02
32731,983,78882,2615,45015,4002,59295,6780,58572,5924,76733,3967,93843,5928,73470,198,46025,92,NH-02
24831,496,60386,2726,29807,1351,48680,4146,52153,3223,57103,3073,69660,2670,50395,77,36666,137,NJ-01
7389,315,20504,897,11113,864,18442,2039,20559,1105,18388,2845,21288,1697,15705,220,12791,104,NJ-10
24919,722,76375,920,36391,1229,35093,3041,48494,1896,68533,3140,80247,3310,59452,156,48313,275,NJ-05
24050,258,66173,1952,33759,1718,37816,2286,49033,2620,71488,2627,85358,1531,56321,0,45284,0,NJ-07
14472,155,32578,1209,19583,2155,28230,3450,28875,1936,33041,2961,41818,3443,34442,0,26751,0,NJ-09
16748,2331,42629,2764,29042,2521,37404,3905,33020,2662,45032,1073,54258,2467,38012,21,27044,0,NJ-06
