Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
6240,173,15242,1515,11713,2191,11893,3677,8434,2455,10248,1687,7772,770,5428,0,3861,0,FL-07
3150,0,5058,876,3144,1475,4389,1982,3615,973,4100,2261,3901,1358,4080,0,1555,0,FL-27
15118,586,32441,2435,14910,5661,20873,4782,19824,3701,21140,3012,18901,2703,14138,71,7122,0,GA-03
13413,777,37125,864,13976,5732,16130,4233,17796,5198,22219,5793,20711,3159,15000,123,8423,0,GA-10
34412,2084,85450,6259,30317,12720,44599,17460,55799,11628,52590,10351,53613,6930,34182,103,13559,228,GA-04
31525,1638,64442,4686,38354,12694,46351,15042,43389,9576,43399,10071,39751,9184,36620,105,23533,0,GA-05
3508,54,7600,1024,3156,1605,4042,1818,4111,767,8013,599,4892,1040,4086,0,1819,0,GA-09
15554,423,33267,2197,17965,2498,22494,3012,22044,3761,26171,2254,13481,1803,7127,1479,3025,110,GA-07
7726,119,15091,273,10471,2055,13927,2395,16577,3778,9155,1690,9895,983,4774,80,2177,0,GA-06
16167,960,42883,2427,16921,7580,20060,8589,22648,3931,21304,3808,23875,3077,15955,29,9129,0,GA-01
10055,700,25339,1604,11285,3353,16910,3752,14055,4253,19688,2303,11006,672,7417,0,3782,0,GA-11
19000,245,38590,2475,18862,5568,17697,7147,20979,6374,19276,5797,21083,2755,17810,0,9222,47,GA-08
,,,,,,,,,,,,,,,,,,ID-02
,,,,,,,,,,,,,,,,,,HI-01
23632,1228,55609,3886,27654,7913,35740,8079,36982,4225,39613,5890,43228,3552,33817,212,25045,85,IL-01
20226,759,47861,2713,22352,3630,33733,4032,34410,4766,28994,3916,35718,4352,30366,408,21645,46,IL-07
27191,684,64734,3790,30732,7096,43097,8228,37715,3770,46531,4583,47459,4517,29849,158,20148,0,IL-02
1102,0,1499,0,2824,496,5096,9,2457,0,2593,313,1662,153,1619,0,699,0,IL-05
6839,0,20309,1094,9346,1273,8295,1388,8057,1206,7437,424,6556,295,4998,0,2529,0,IL-13
1143,0,2471,0,1339,200,1454,0,1963,6,2140,499,1976,328,709,0,370,0,IL-06
3709,0,9881,136,4155,945,4571,549,5869,515,4942,471,4741,368,3216,57,1933,0,IL-10
1344,0,3661,474,2664,712,5207,578,3513,441,3189,670,3030,514,1740,0,1587,0,IL-04
6134,0,9830,2222,4204,1281,8504,1753,6995,1957,8462,2274,5479,1862,3289,0,1273,0,IL-09
6450,1054,19577,913,9314,3219,12216,1038,10786,2204,11743,1064,11766,505,9449,0,4356,0,IL-12
3824,280,10226,574,3873,559,5340,1555,5813,808,4755,104,3399,344,2255,0,1131,0,IL-08
1349,0,5287,111,2690,70,1802,202,3972,198,1949,121,1895,120,1978,45,324,0,IN-09
2175,0,5600,159,5018,591,2826,343,2796,520,2343,941,3213,34,1661,0,775,0,IN-08
9112,1321,24982,1761,10970,2535,11223,3306,13577,1707,13950,1400,13894,1294,10740,132,7007,58,IN-01
5504,0,14358,50,6019,750,6493,584,7078,836,10465,451,6200,380,3900,0,3086,0,IN-05
20329,3006,46182,2971,17846,4635,27519,6284,25785,5361,22688,3767,23014,2717,14796,93,8732,0,IN-07
3133,218,7428,305,3770,820,3882,842,1930,464,3688,164,2701,0,1001,0,864,0,IA-01
4225,681,6568,549,3018,1062,6357,326,3936,1608,2700,675,2332,66,1613,0,900,0,IA-02
