Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
33562,2072,83463,8698,40039,12964,49336,20790,58199,25558,70625,24307,64375,13021,47658,1928,45129,1562,FL-25
6948,785,16360,1933,8634,2324,7865,4104,7744,4627,8003,1194,6136,1125,3859,355,2344,0,FL-03
17957,2336,36399,5156,17430,6328,28928,9197,25220,12036,22779,5866,17983,3584,12861,30,5181,368,FL-10
6731,79,13453,511,4988,1240,5843,2443,10883,1698,6536,2402,7195,518,2428,117,2789,37,FL-04
5471,329,11764,1533,6596,1979,8686,3115,9110,3156,7454,3259,6855,1586,4853,268,2588,0,FL-13
42414,1679,82248,6970,32193,12161,43213,21255,59278,18503,70755,19911,56223,12816,44591,1568,35168,941,FL-26
12831,1160,25429,5764,9998,4793,16100,7498,20608,5400,20122,4724,15942,4560,11374,287,8220,591,FL-22
33841,1133,71227,9195,33648,9507,42328,8736,54871,12959,44027,9452,30521,6900,23516,616,16201,341,FL-09
14939,631,30058,5249,10362,6143,16037,6915,16456,10101,15356,6918,13616,2166,8860,498,5051,260,FL-19
5376,301,9621,2019,3312,1467,4952,3244,4787,1924,4326,1550,3011,721,2343,47,1081,0,FL-01
15590,286,39081,2954,17858,8044,23177,7635,27959,6464,21099,6514,14895,2987,12381,164,9795,66,FL-07
29333,2562,54905,6887,33547,8998,48764,17060,55644,17494,65245,16224,56967,13059,46364,1317,54181,671,FL-27
3777,239,10351,1548,3415,813,3200,1769,5654,3015,4862,646,2666,295,1454,23,723,0,GA-03
4952,118,9179,338,2565,1716,3431,2211,3128,1325,3688,2514,1845,267,1421,0,582,0,GA-10
