WithAnInternetSubscription,WithAnInternetSubscription_Dial_upWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_BroadbandOfAnyType,WithAnInternetSubscription_CellularDataPlan,WithAnInternetSubscription_CellularDataPlan_CellularDataPlanWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_BroadbandSuchAsCable_FiberOpticOrDSL,WithAnInternetSubscription_BroadbandSuchAsCable_FiberOpticOrDSL_BroadbandSuchAsCable_FiberOpticOrDSLWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_SatelliteInternetService,WithAnInternetSubscription_SatelliteInternetService_SatelliteInternetServiceWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_OtherServiceWithNoOtherTypeOfInternetSubscription,InternetAccessWithoutASubscription,NoInternetAccess,stateId
278353,1166,277187,246146,42080,211266,24794,33391,4482,207,10641,25336,ID-02
217337,246,217091,194793,23744,190864,21289,7595,130,0,6072,20031,HI-01
225404,242,225162,197473,36680,180935,25826,15880,1032,25,6632,39693,IL-01
257334,343,256991,236437,37620,208026,14817,19212,986,1834,13264,36317,IL-07
221678,347,221331,203119,40417,171548,15475,16879,1389,256,4698,33504,IL-02
270450,0,270450,243017,26382,236697,20666,15051,512,2286,7175,25927,IL-05
226988,1074,225914,186924,35171,177370,35115,20900,2241,312,16797,39716,IL-13
248957,294,248663,235353,17842,225804,12267,13794,330,0,3453,14351,IL-06
229164,327,228837,214963,22506,202099,12425,11265,749,85,3572,20711,IL-10
184641,286,184355,171204,33829,145181,10519,11603,271,705,5805,36611,IL-04
251956,177,251779,228357,26314,219664,20935,11891,826,420,8653,24876,IL-09
233270,1034,232236,208997,48033,167229,19475,20837,1565,909,8073,41491,IL-12
233070,421,232649,216604,26282,201040,14442,11389,357,640,2753,19861,IL-08
237200,1025,236175,213908,32713,184919,18966,23778,2453,155,6208,43676,IN-09
240924,1148,239776,210198,45731,175477,24844,23362,2776,374,4605,40801,IN-08
235580,984,234596,202617,26368,194273,28675,20512,1646,426,6594,37020,IN-01
279452,381,279071,258091,31790,237369,17527,19614,1788,119,6363,27260,IN-05
244017,147,243870,225870,46877,189117,15318,15962,910,83,7817,44960,IN-07
270661,1738,268923,228666,40500,213000,36157,22555,2205,291,9284,34485,IA-01
265563,1528,264035,241419,43986,205249,19276,22027,1979,195,10115,40622,IA-02
226891,1228,225663,202049,42304,168941,19695,19358,2080,166,7638,37875,KS-01
274803,415,274388,258089,26863,241569,14458,11669,837,177,5164,17912,KS-03
229520,639,228881,196681,36026,171563,25915,28253,4615,228,13068,43906,KS-02
265015,463,264552,239157,44219,209061,22737,18697,1592,106,9392,35271,KY-06
233315,433,232882,196717,56255,161207,31596,23778,3216,140,5112,45641,KY-01
198857,443,198414,165211,21329,166081,28323,17925,3158,63,8019,59260,KY-05
205742,686,205056,175585,50031,135287,24754,29510,3031,39,7048,71981,LA-04
234353,41,234312,209270,45386,177392,21397,27549,1899,89,8241,53908,LA-02
258598,200,258398,239717,33591,215522,15929,22998,1068,39,5312,35975,LA-01
199511,433,199078,178150,51559,124648,16561,31260,2859,98,11848,58557,LA-05
257644,1353,256291,225037,25200,222524,28618,11942,1515,57,8073,27295,ME-01
232040,1342,230698,187073,25748,191992,39106,14526,2334,688,10672,37894,ME-02
248371,615,247756,221697,37806,197467,23492,17158,1532,114,6735,25168,MD-01
265971,250,265721,246380,24152,237405,18482,9833,439,0,7048,19748,MD-03
247011,202,246809,229832,25909,216966,15649,11438,314,0,6572,20426,MD-04
238738,140,238598,217239,19353,213586,20190,11131,510,40,5947,17060,MD-05
225773,309,225464,203925,41777,179255,18878,9269,807,52,13418,40131,MD-07
254411,263,254148,229308,26841,223673,24086,10755,212,0,4209,23271,MD-02
246812,483,246329,225373,25639,212676,18779,14406,1073,60,5221,22466,MD-06
259715,332,259383,240275,27821,226307,18020,11698,543,130,5706,16839,MD-08
