WithAnInternetSubscription,WithAnInternetSubscription_Dial_upWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_BroadbandOfAnyType,WithAnInternetSubscription_CellularDataPlan,WithAnInternetSubscription_CellularDataPlan_CellularDataPlanWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_BroadbandSuchAsCable_FiberOpticOrDSL,WithAnInternetSubscription_BroadbandSuchAsCable_FiberOpticOrDSL_BroadbandSuchAsCable_FiberOpticOrDSLWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_SatelliteInternetService,WithAnInternetSubscription_SatelliteInternetService_SatelliteInternetServiceWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_OtherServiceWithNoOtherTypeOfInternetSubscription,InternetAccessWithoutASubscription,NoInternetAccess,stateId
253167,321,252846,230808,48229,184879,17183,27046,2657,573,7137,33043,OK-04
299360,892,298468,278911,28948,257578,16717,17327,1432,25,10877,15713,OR-01
279166,800,278366,250213,34695,228519,22240,21887,3758,337,8382,27497,OR-05
284566,1031,283535,244526,35884,224387,32579,27897,3820,659,10037,36165,OR-02
183298,336,182962,168284,21306,158758,13950,6782,282,0,5301,16612,RI-02
261775,498,261277,240528,28697,222542,17274,22831,2559,81,22617,27571,SC-01
250551,309,250242,223259,30165,211971,23894,19169,698,45,5622,33363,SC-04
242934,592,242342,219500,42982,187948,18637,20808,2301,413,5121,38252,SC-05
245387,716,244671,227768,33712,201409,14081,20024,1719,263,3587,31615,SC-02
301600,933,300667,255174,37744,248803,40523,19823,2831,551,9002,43197,SD-00
240598,446,240152,204495,44447,182489,30778,16482,2398,603,9850,51003,TN-01
286415,849,285566,267308,33968,241695,16085,17356,756,163,5184,28785,TN-05
251578,407,251171,233340,38573,194813,14021,25178,2884,88,5385,35099,TN-07
251665,401,251264,196568,38041,203985,51455,17352,2455,119,8941,44109,TN-02
202403,71,202332,186775,37266,154104,12312,16159,1823,86,9089,58546,TN-09
179022,403,178619,152052,32488,133100,24354,18993,1756,76,4186,38286,TX-28
210877,1317,209560,186217,63224,126717,18349,29505,2885,416,7795,40653,TX-01
274687,107,274580,261220,31655,237059,12033,20229,252,0,6304,20878,TX-07
259475,277,259198,243967,33229,210638,12641,30996,1838,100,4014,17003,TX-06
240561,32,240529,210313,39152,183272,24310,26751,4913,0,10821,35226,TX-17
234739,521,234218,214038,53196,160446,14230,26437,3285,1416,3629,29775,TX-36
204525,71,204454,184586,34656,160888,18161,18486,934,220,5869,29705,TX-16
299648,246,299402,287172,38041,255075,11127,14939,359,78,5047,20481,TX-24
181242,273,180969,172372,46861,130435,7721,10737,589,110,9498,34338,TX-33
232845,480,232365,202136,41824,165129,23120,31135,5813,418,5974,41843,TX-11
182573,127,182446,152380,38826,127984,24397,20579,4340,217,11567,43643,TX-15
192370,131,192239,168588,27683,152487,19946,25066,2562,107,7577,42453,TX-23
266044,353,265691,251211,37180,212294,12133,29201,954,545,5115,24569,TX-12
277140,830,276310,255491,36205,219461,15918,42694,2603,629,4267,25332,TX-08
153355,295,153060,131372,54751,87220,18450,15728,2455,253,13564,50011,TX-34
208830,365,208465,195718,33382,168609,10687,20217,1144,27,11085,52419,TX-30
239940,306,239634,214613,35775,196148,22621,22048,1072,147,6259,47273,TX-18
266527,414,266113,248690,36387,222758,15327,22029,780,146,4484,20657,TX-02
214791,205,214586,198290,33972,174831,14784,13094,905,38,13373,27672,TX-20
299545,617,298928,271387,33646,253038,23896,25043,2809,101,9753,22971,TX-21
283643,120,283523,266961,37044,238024,14644,18738,906,28,5152,18059,TX-31
265298,651,264647,245398,53881,190280,16190,28524,2671,97,6240,20295,TX-25
270127,269,269858,255955,27846,234869,12495,16726,465,202,6158,15175,TX-32
307469,56,307413,278489,20254,280195,27397,22776,1291,0,4069,13369,TX-03
234539,479,234060,217399,62357,146016,11906,38450,2855,254,8927,40889,TX-04
215308,347,214961,199212,49108,149903,12978,25192,1643,186,6692,37762,TX-13
292791,169,292622,276972,22790,259772,14601,24017,664,0,4152,9978,TX-26
231388,178,231210,213860,43907,179987,14440,24773,1044,90,4011,31158,TX-09
220944,1732,219212,169763,21116,186039,44371,14230,2704,545,14662,27161,VT-00
233129,723,232406,220897,23983,192038,9431,27326,1096,77,5851,13031,UT-01
246037,770,245267,231258,25466,209057,11809,21606,1255,25,8094,12434,UT-04
254014,487,253527,231839,29858,205998,17665,21203,2191,618,5338,26273,VA-01
266330,356,265974,242199,20703,237243,21886,14173,1150,329,4694,12498,VA-10
226280,891,225389,205701,55850,144098,14825,29293,3056,141,8572,60243,VA-05
261637,492,261145,242702,29332,219405,16775,17056,1242,208,4765,30236,VA-07
261368,408,260960,245430,13066,244569,14935,10714,176,0,3607,7593,VA-11
210842,976,209866,172332,33226,155669,28675,25223,5678,515,10842,56299,VA-09
305873,317,305556,285584,27246,275574,19395,9951,32,0,4119,16605,VA-08
258963,692,258271,229693,31128,212711,24137,20028,2496,218,5966,23167,WA-03
260651,181,260470,237918,29106,224171,20057,11716,1378,108,10674,17402,WA-10
220522,591,219931,199748,35659,169138,16433,22818,2781,221,6674,22905,WA-04
341907,610,341297,320018,30005,306160,19525,10134,453,633,7623,16745,WA-07
271863,270,271593,255195,26329,241407,15076,9044,577,190,4227,14306,WA-09
252919,743,252176,236183,22712,220152,13697,15792,1201,127,5135,15803,WA-08
197532,1154,196378,159402,28182,157007,31637,12935,3687,209,6610,35417,WV-01
207917,959,206958,174217,28725,165565,28469,17182,2720,43,5088,38313,WV-02
251715,1661,250054,212533,37217,195855,32803,21690,2723,548,7095,35257,WI-03
226086,589,225497,210981,31158,189475,12509,9991,837,313,7696,45662,WI-04
251151,2636,248515,217120,45606,182025,25557,25960,3642,285,8545,43392,WI-07
257543,2053,255490,228510,37331,200879,22725,21785,2768,371,6011,34355,WI-06
265200,1487,263713,237853,38003,205007,20746,23796,2666,625,6435,32419,WI-08
813817,15137,798680,733731,342685,411565,58622,71593,4611,308,20323,336842,PR-98
220860,403,220457,208444,66142,136129,8055,33758,2286,300,8267,49668,MS-01
218282,759,217523,200636,52963,147788,13205,28410,2593,66,7763,54664,MS-03
227752,521,227231,205973,52012,156119,17162,27096,3318,182,7431,54046,MS-04
180615,428,180187,162892,57435,105840,10690,23853,3587,763,8063,62818,MS-02
276287,150,276137,249823,35111,236921,24347,9037,520,348,7585,36661,PA-18
234564,1028,233536,212394,27219,201908,20086,11775,258,48,6530,31563,PA-07
218660,470,218190,196473,26727,185262,17760,24081,1512,429,5527,35028,PA-02
277908,690,277218,247126,29537,243681,28347,8120,566,68,6577,28616,PA-17
249930,654,249276,230582,20307,226129,17496,6158,402,286,3769,18864,PA-01
233616,1756,231860,198979,30742,190177,29770,16897,1723,139,5875,42033,PA-13
237577,1036,236541,207101,34110,194067,26191,12179,2058,209,5618,40432,PA-16
237511,1561,235950,206187,33577,193363,27174,17644,949,65,5062,32977,PA-08
260972,683,260289,234274,30879,222753,24133,10573,647,0,6636,32217,PA-10
236431,1632,234799,214004,28013,200609,18817,10275,787,233,6783,35654,PA-11
229718,1398,228320,201977,35082,182426,23590,14489,1361,79,5869,39959,PA-09
261730,353,261377,238954,23761,234866,21102,6405,74,351,5205,16595,PA-04
225483,1817,223666,187434,33457,176999,30706,17626,3381,236,7721,47469,PA-15
235856,422,235434,216410,27994,204409,17996,8164,389,0,5697,25597,PA-05
267102,402,266700,246583,39165,221280,16992,15214,850,329,9812,38786,PA-03
264463,1093,263370,241712,60524,178632,16575,29436,4045,234,11622,46721,MO-07
245672,627,245045,222232,38756,190007,19910,21411,1988,104,5909,39247,MO-06
234720,847,233873,209193,56030,146852,18010,36967,4794,212,5337,50815,MO-08
271900,870,271030,246948,37268,215555,19563,29169,2554,101,6402,29459,MO-03
243064,1329,241735,219013,47402,170284,18100,27982,2978,263,9273,40822,MO-04
374853,2705,372148,326252,55175,285471,37497,39792,5434,750,13064,49734,MT-00
206973,1072,205901,178398,35199,150955,23007,25507,3183,310,7518,34949,NE-03
200075,297,199778,179615,36485,158480,18928,13768,526,31,9871,48016,NV-01
289196,341,288855,271954,23307,260071,15056,20853,541,0,10627,21235,NV-03
267476,601,266875,226374,32447,221008,36915,28347,1964,113,7632,23027,NV-02
235942,863,235079,197582,19625,209005,35045,8041,1633,45,6845,23823,NH-02
238916,553,238363,216593,29692,204731,20476,10430,289,40,4785,27296,NJ-01
242310,336,241974,221089,32114,204604,19335,7879,606,96,4552,38582,NJ-10
248743,574,248169,229970,24195,219604,16469,10371,360,282,3747,15175,NJ-05
254349,534,253815,236353,19057,231672,16001,10414,393,98,2556,15087,NJ-07
240566,185,240381,219426,32710,204657,19045,20703,464,280,3128,26550,NJ-09
230401,630,229771,212641,23807,201617,16490,8752,211,47,6090,19799,NJ-06
244796,245,244551,231172,19914,221188,11577,8128,560,100,6214,22390,NJ-12
231547,1728,229819,206144,32616,187371,17169,22820,1348,313,7595,37507,NM-01
200215,1163,199052,170906,28993,151320,19384,26697,5885,323,9136,52495,NM-03
206150,209,205941,186052,19314,184903,17650,6837,188,0,2657,14611,NY-02
254414,928,253486,221906,31031,217692,29588,10236,422,193,10868,29437,NY-25
237771,220,237551,216217,25619,208986,19127,9840,273,69,5216,14346,NY-03
280244,417,279827,244738,26146,250466,34208,8191,265,335,5575,31840,NY-10
244315,210,244105,226872,45717,195934,15403,5977,243,0,6239,44503,NY-13
266035,515,265520,235993,37090,223046,27215,11409,820,527,7894,37694,NY-26
244265,264,244001,220397,28297,211719,21531,12060,924,69,4674,36698,NY-09
232768,216,232552,211450,15941,214954,18890,6453,243,0,3376,16486,NY-01
206695,716,205979,176794,23993,178775,27298,10219,768,351,7689,38829,NY-07
227595,569,227026,211137,20481,205029,15224,6553,140,0,4238,18012,NY-17
226349,710,225639,210767,40683,182380,13894,7757,162,72,4359,35419,NY-06
201736,322,201414,173981,46875,152234,25975,7489,184,171,5042,23544,NY-05
