26_to_64_years_Less_than_high_school_graduate_With_health_insurance_coverage,26_to_64_years_Less_than_high_school_graduate_With_health_insurance_coverage_With_private_health_insurance,26_to_64_years_Less_than_high_school_graduate_With_health_insurance_coverage_With_public_coverage,26_to_64_years_Less_than_high_school_graduate_No_health_insurance_coverage,26_to_64_years_High_school_graduate__includes_equivalency__With_health_insurance_coverage,26_to_64_years_High_school_graduate__includes_equivalency__With_health_insurance_coverage_With_private_health_insurance,26_to_64_years_High_school_graduate__includes_equivalency__With_health_insurance_coverage_With_public_coverage,26_to_64_years_High_school_graduate__includes_equivalency__No_health_insurance_coverage,26_to_64_years_Some_college_or_associate's_degree_With_health_insurance_coverage,26_to_64_years_Some_college_or_associate's_degree_With_health_insurance_coverage_With_private_health_insurance,26_to_64_years_Some_college_or_associate's_degree_With_health_insurance_coverage_With_public_coverage,26_to_64_years_Some_college_or_associate's_degree_No_health_insurance_coverage,26_to_64_years_Bachelor's_degree_or_higher_With_health_insurance_coverage,26_to_64_years_Bachelor's_degree_or_higher_With_health_insurance_coverage_With_private_health_insurance,26_to_64_years_Bachelor's_degree_or_higher_With_health_insurance_coverage_With_public_coverage,26_to_64_years_Bachelor's_degree_or_higher_No_health_insurance_coverage,65_years_and_over_Less_than_high_school_graduate_With_health_insurance_coverage,65_years_and_over_Less_than_high_school_graduate_With_health_insurance_coverage_With_private_health_insurance,65_years_and_over_Less_than_high_school_graduate_With_health_insurance_coverage_With_public_coverage,65_years_and_over_Less_than_high_school_graduate_No_health_insurance_coverage,65_years_and_over_High_school_graduate__includes_equivalency__With_health_insurance_coverage,65_years_and_over_High_school_graduate__includes_equivalency__With_health_insurance_coverage_With_private_health_insurance,65_years_and_over_High_school_graduate__includes_equivalency__With_health_insurance_coverage_With_public_coverage,65_years_and_over_High_school_graduate__includes_equivalency__No_health_insurance_coverage,65_years_and_over_Some_college_or_associate's_degree_With_health_insurance_coverage,65_years_and_over_Some_college_or_associate's_degree_With_health_insurance_coverage_With_private_health_insurance,65_years_and_over_Some_college_or_associate's_degree_With_health_insurance_coverage_With_public_coverage,65_years_and_over_Some_college_or_associate's_degree_No_health_insurance_coverage,65_years_and_over_Bachelor's_degree_or_higher_With_health_insurance_coverage,65_years_and_over_Bachelor's_degree_or_higher_With_health_insurance_coverage_With_private_health_insurance,65_years_and_over_Bachelor's_degree_or_higher_With_health_insurance_coverage_With_public_coverage,65_years_and_over_Bachelor's_degree_or_higher_No_health_insurance_coverage,stateId
27093,18395,10209,16155,68839,55912,16318,25005,91968,80280,16502,16383,115142,111545,6504,6647,14751,7597,14422,225,25213,14750,25033,169,27584,18476,26681,0,28752,21950,26879,117,TX-17
26555,19510,8208,23457,83379,68882,16808,39356,101539,91830,15318,21909,68377,64398,5478,7740,19012,5909,18930,999,36774,15638,35541,69,30170,15885,29021,372,19532,12611,18679,33,TX-36
24777,16649,10062,23611,55131,43919,14187,35292,83756,73472,17632,28901,78098,74779,8531,12672,34026,7524,33271,1126,20477,8415,19839,244,19826,9794,19257,308,14948,10271,14020,117,TX-16
20559,18471,2694,20268,55560,50033,7032,21832,98612,93431,8315,18529,217505,213331,7104,17269,8407,3690,7947,505,18349,10288,17126,1268,25083,15409,23191,124,34453,22198,31617,771,TX-24
62019,47469,16140,76470,62893,51376,13778,46423,50740,41508,10955,21415,37648,34870,3613,9920,23682,5977,22166,2182,15933,5185,15424,0,11420,5245,11304,327,8182,4294,7430,673,TX-33
29078,22536,7447,23349,79848,70148,13156,32297,104714,96837,13709,18504,80704,79265,4323,6811,21852,8560,21762,151,29514,18388,28946,35,38166,24339,37283,101,29569,20358,27982,56,TX-11
33893,24468,10894,55200,57496,47464,11515,40147,66365,60244,10930,26120,66498,63570,6695,13096,36047,5332,35118,2691,17733,8975,17019,134,18435,9775,17901,0,16453,9837,15827,733,TX-15
34879,25356,11302,27382,73768,63236,13608,29962,85290,76800,16064,18602,88212,86645,5721,7128,32760,6795,32008,753,25658,11087,24966,141,23206,13427,22692,275,18706,13580,17680,180,TX-23
23754,17387,6726,19306,83839,71925,13495,28551,107168,99369,12807,22056,125853,123571,5057,13279,12713,3349,12713,467,26337,11551,25973,663,35813,17963,34715,423,32584,18985,31375,221,TX-12
25811,21035,5286,24301,80258,68678,15000,25765,111411,102863,15159,21427,138662,135136,5523,6760,16728,4964,16367,222,34090,18146,32636,1327,40960,22696,39895,117,31823,20733,29743,288,TX-08
32617,21324,12088,46637,54136,41703,14645,38118,61435,50505,13910,24840,39321,38365,1713,9415,43407,7908,43273,1712,20435,8422,19740,305,18874,9703,18600,533,14403,9198,13358,588,TX-34
40413,28080,13407,36439,75949,57859,21399,42012,85902,74840,15266,22508,80317,77400,6090,9999,19971,4755,19098,1277,24853,8448,24329,320,21994,10864,20939,82,16182,9630,15449,0,TX-30
34923,22277,12956,53641,71322,52068,22648,48484,85191,70236,17796,25158,91510,87581,5489,9661,19059,3861,18622,3166,22997,6471,22293,404,19601,8318,19104,198,15649,8527,14216,529,TX-18
20513,14668,6952,24871,51090,43020,10194,22272,86374,80044,10143,18846,179468,175577,7437,12618,13122,3151,12329,1503,19617,7670,18899,55,25493,13802,23936,127,39150,23453,37290,449,TX-02
32811,21162,12537,34627,71774,59489,15844,32578,100141,87824,20934,27970,95322,90457,11062,6779,23644,7247,23353,1503,24661,12297,24025,733,26477,14975,25723,241,18567,13043,18005,442,TX-20
14372,9770,4882,12619,54187,45512,11544,20248,99516,93510,12125,20734,193450,188677,11007,13852,9157,3941,8978,0,28356,17176,27362,219,39309,26413,38238,181,61483,45596,57210,160,TX-21
20122,14841,6041,10987,74665,64393,15914,22711,136327,125447,24930,21277,161373,156154,15984,7472,10719,5720,9058,896,28804,15191,28391,1194,29293,19016,28552,42,38952,28138,37968,194,TX-31
20329,15802,5346,12703,65483,56862,12645,25046,93587,84447,16751,16207,168831,164822,8768,8743,9534,4031,9411,267,28759,15189,27874,302,31657,20381,30715,144,41576,29897,38631,111,TX-25
22087,16705,5740,26841,40205,36013,6367,28369,81484,76779,6638,22943,168885,165181,5872,15014,9144,2085,8896,621,15571,7676,14629,682,25799,14859,24527,0,45590,28585,42435,169,TX-32
12206,10749,2920,11091,52731,48950,5851,18258,104002,100667,5298,15615,260181,257340,6946,16016,7982,3596,6436,671,19489,10363,18080,964,27190,16688,25964,193,47989,28806,44007,263,TX-03
24016,15967,8828,20901,78126,64369,17283,31417,107265,94115,19185,23073,84834,82552,4021,7797,16071,6867,15815,619,38761,22160,37105,647,40668,23995,39407,239,29677,21308,29426,75,TX-04
28719,21802,8253,18300,78010,65042,16236,27374,85733,77821,13417,17009,64354,62558,3991,5585,15826,6068,15480,281,33683,18107,33357,135,34188,23083,33140,307,25483,18264,23877,92,TX-13
19436,16690,3485,14038,67321,61412,8633,13680,120351,114754,10341,20021,218010,215570,7540,15244,9122,3935,8986,32,22425,9995,21717,640,29522,16887,28586,114,36166,24726,34839,67,TX-26
38799,26981,13079,47449,62401,49723,16185,43044,78249,68450,13309,27789,87128,81758,7238,17331,16166,4577,15128,637,20042,6286,18947,1036,23277,9692,22464,442,22920,12829,21301,256,TX-09
16354,6280,10447,2688,79053,53644,29229,8505,74046,57415,19876,5941,120730,110546,13535,3687,9519,4853,9479,43,37882,21285,37439,105,29922,18871,28835,0,44361,32498,43062,35,VT-00
17707,13680,4811,8526,81443,73849,11656,12941,112987,105214,13117,11374,113487,110478,7062,5921,5458,2816,5003,229,21119,12615,20541,316,31334,21979,30375,86,24020,15485,23146,111,UT-01
21146,18221,3902,9842,79621,72216,9243,16699,125531,118660,9942,15096,139020,136284,6308,6926,6237,2546,6001,198,23154,11187,22613,0,29028,17609,28105,280,24251,13948,22925,147,UT-04
24110,16664,8921,9351,83327,72354,14782,15646,106080,96267,17613,9341,155413,150914,12984,6038,14935,8284,14761,280,35561,25176,34547,403,33800,24745,31908,359,42575,35191,40931,646,VA-01
14964,11488,4418,12672,46496,40216,8352,11250,88354,83685,7217,8289,256063,253197,9563,5368,9566,5744,8930,570,25193,15779,24193,384,21707,17028,20852,83,51617,41299,48166,514,VA-10
26121,15172,12212,8730,82345,62219,23526,17727,95763,80691,19461,9707,103011,98398,7331,5031,26562,11334,26382,463,43333,26278,42200,127,41056,26931,39911,0,39168,28740,38120,113,VA-05
21857,15631,7618,9903,77382,65218,15921,14796,97940,87988,14386,11729,168836,162339,10807,6344,12573,6193,12370,240,33747,22391,32814,197,35648,24785,34844,283,46987,35355,44842,916,VA-07
20612,18037,3513,13704,45162,41227,6329,11564,73922,67942,9851,10667,232004,227804,12167,11228,8829,4097,8383,400,14635,9543,13553,740,21126,16555,20139,39,52276,43122,48537,359,VA-11
28682,10500,19442,5724,93334,60556,37199,15746,94006,73375,25898,13590,75056,71148,5674,4006,31665,13296,31560,175,49199,25829,48753,99,35246,21090,34705,0,27179,16591,26340,140,VA-09
18498,14593,4732,17383,37505,32484,6166,12753,62763,54740,10990,10223,280804,274705,14117,10445,8948,3865,8375,476,13908,8661,12877,289,20081,15520,18507,908,54044,44893,50042,313,VA-08
24574,14780,11665,7273,86505,68657,22424,13174,133072,108006,33511,10275,98810,92281,9775,4035,10293,5516,10085,100,38100,25001,37163,65,48355,32701,46625,327,37493,26435,36114,32,WA-03
25230,16453,10584,8618,89638,69334,25811,14147,132588,110783,33472,9320,98484,91670,13040,4767,9214,4364,8689,50,28273,19095,27315,134,40556,31333,39986,87,35081,25680,33361,0,WA-10
38791,19270,20225,31075,71148,50567,24357,20297,96392,76706,24242,9845,72110,67842,7025,3163,16124,6850,15306,1080,28474,19041,27231,0,32996,22042,32158,326,25309,18239,24042,0,WA-04
15827,11263,5331,5153,42130,32762,11980,6760,90555,73785,20329,8212,299492,286671,15975,10707,8154,3327,7765,0,13492,7793,13020,278,28844,16757,27724,324,54780,34787,51943,114,WA-07
29404,19620,11204,8519,63514,47828,18266,12636,102122,83165,23194,10188,185027,178190,10100,6879,12824,3857,11727,691,18822,9355,18512,261,27115,16384,25650,612,40636,25965,38191,466,WA-09
24486,16446,9124,8719,80300,63437,19525,10014,113903,102264,16431,8452,147227,142847,7055,4136,9036,3772,8691,612,27376,17426,26965,77,36264,23967,35343,139,35708,23461,34486,366,WA-08
21455,6732,15720,3755,93003,65456,32877,12698,77275,60249,21681,6210,69915,65309,7588,3539,15712,7744,15705,376,52855,37580,52181,184,25865,17149,25783,12,22976,17615,22355,101,WV-01
22266,9969,13619,6654,108998,76178,40928,14795,78987,62446,22230,6569,71294,64815,8966,2397,20178,10181,20178,246,47764,30140,46991,69,26077,18902,25909,280,24125,18081,23543,221,WV-02
13897,7297,7230,4473,88566,71895,20959,11245,113205,97786,20983,7180,93564,87699,8157,3632,10170,5833,10141,95,54318,34578,53481,94,35032,24447,34441,69,29560,21275,28746,0,WI-03
30202,12575,18583,12729,86048,51871,37315,17458,92173,68429,28719,10095,100391,93409,8298,4634,13943,4599,13469,263,25645,11495,25002,73,19424,9260,18813,0,23638,14705,22616,110,WI-04
16197,10286,6833,6542,99899,80440,24764,11724,120099,104168,22230,8714,87524,84014,6041,3188,13892,8130,13840,118,60330,39445,59556,179,38619,25047,37796,26,32756,23065,32231,412,WI-07
15504,9433,6865,4622,97863,83805,18057,7016,108992,97406,16316,6918,105981,102332,6106,2332,11381,6495,11364,0,56586,31813,55943,147,33967,19410,33397,106,30521,18001,29851,0,WI-06
17268,10461,7521,5197,100161,83824,19798,10926,118970,105341,18472,8399,105001,101668,5586,4140,11715,5147,11314,15,54850,30431,53612,0,33564,18297,32905,0,27512,16378,27064,7,WI-08
181826,24777,160950,24427,381984,111126,279402,58020,370075,185212,195790,56442,445077,353018,103680,41353,270525,38697,269125,3373,187691,47602,183085,1389,91285,34113,88789,619,117992,59207,107661,1423,PR-98
32549,18157,15344,16993,90829,72646,23176,20083,111086,99576,14774,18735,78828,76243,4463,3677,23991,8127,23927,284,43011,22777,42446,14,28426,16372,28066,0,24157,15352,23229,56,MS-01
26242,14335,13830,16398,72258,55846,19035,19880,99364,84254,20210,17734,92321,89544,5660,4346,21937,7724,21875,302,35490,18755,34942,27,33657,20559,33058,0,29311,20473,27949,0,MS-03
24618,14167,11723,14288,78439,57338,26370,30405,116301,98945,24843,24782,72766,70753,6098,7879,17703,6416,17619,200,44429,24887,44135,118,33587,21571,33047,0,28529,19451,27870,50,MS-04
29290,11979,19016,14742,75468,49085,29636,27473,89121,71843,22183,21301,58554,54557,6551,4041,30467,4730,30380,158,30698,13235,30317,23,25306,14173,24158,211,21280,14130,20720,73,MS-02
14205,6210,8717,2434,74505,55165,23421,8040,91454,73583,23041,6103,149832,143412,9838,5133,9084,5214,8941,24,49000,32172,47704,82,32190,21650,31230,0,35417,24818,33672,233,PA-18
22406,11457,11657,4018,108725,84939,28347,11858,93908,78470,19091,6400,114345,108574,8545,4451,19393,7909,19138,12,49768,32326,48315,46,26891,18172,26081,31,30878,21991,29658,111,PA-07
48393,15361,36631,13893,113768,62064,56907,22476,79412,61004,25709,8610,84056,75172,11520,6996,27697,9358,26862,416,34517,18455,33613,0,16374,10466,16012,51,14955,8684,14241,670,PA-02
11459,5965,6288,1502,74173,58184,20253,5369,97159,82086,19089,6491,169474,164842,8078,4801,9863,5807,9775,0,53862,37048,52856,0,33400,22090,32315,0,44153,31234,41019,13,PA-17
12522,8976,4099,4547,82567,68973,16986,8094,89627,79238,13129,3855,163944,160104,5949,4151,11970,7083,11873,142,42439,32314,41500,168,30025,21739,28606,46,45517,33757,42838,216,PA-01
23035,14479,10834,8098,131278,105108,33659,13157,76755,63173,17373,5637,72151,68998,6024,2021,17394,10388,17197,590,70187,48446,68964,579,28608,21308,27918,80,26378,19907,25539,46,PA-13
17897,6653,12362,6247,104614,76002,33847,8722,80137,64254,21171,5570,98601,93238,8258,3442,13741,7090,13570,147,60916,39099,60038,93,27872,18710,27247,12,29884,22228,29021,26,PA-16
21955,11251,11895,2974,111830,79234,39159,13634,93226,75572,23005,9103,84897,77282,10534,4167,13077,7034,12983,454,56580,38534,55622,266,34785,25495,34045,14,28751,20704,27195,12,PA-08
24663,15575,10196,5063,103735,81542,26428,8713,92718,80168,16628,8061,124965,119742,9257,4467,13847,7370,13521,107,53283,36735,51837,254,26756,19594,25745,21,33292,25444,31227,80,PA-10
27111,17341,11638,13019,109077,95028,19610,10383,81786,74017,12531,5872,103636,99761,5212,5750,20530,9555,20444,1293,54593,35426,52979,394,25502,16373,25006,151,29500,21565,28937,196,PA-11
23331,14052,10877,6195,128601,104157,30574,8979,87691,75467,16901,6842,80221,76899,5192,1830,19551,12184,19298,439,68295,46381,67033,226,24131,16342,23427,0,22206,16263,21580,17,PA-09
11393,7855,4533,2648,68279,56213,15823,7097,79868,72511,10406,4595,190478,185713,6987,3554,10336,6689,10066,222,39430,28396,38027,25,28251,21230,26822,26,51172,36655,47904,241,PA-04
16683,7955,10109,4301,130080,101158,36120,11050,80652,68969,17467,5072,72581,67828,6986,2201,15482,9531,15366,104,73159,48060,72490,346,26108,18704,25447,80,22166,16211,21697,0,PA-15
18919,11311,9471,6146,88297,64158,31451,10260,81623,66179,20647,5859,143796,136098,9987,5133,10889,4938,10626,0,43017,24397,41381,370,21282,14457,20051,84,38267,28489,35064,158,PA-05
28593,12047,19668,3574,87258,50993,41583,11307,76546,51658,30199,11623,161508,151325,13104,6951,15450,5403,15102,97,36791,16772,36512,60,21551,11953,21103,59,30438,21080,29144,64,PA-03
23017,11614,12342,14329,92806,72393,24541,25681,101646,89788,18452,18675,91137,87546,6379,7586,17618,6415,17519,524,47848,25214,47117,177,41488,22485,40846,154,28451,17274,28144,0,MO-07
16560,10927,6398,8541,99902,85906,17687,18632,98346,88107,15034,11905,114313,111391,5547,4521,12780,5972,12708,130,55354,32210,54572,0,30742,20758,30332,181,27444,19126,26346,0,MO-06
30244,15666,16243,14020,103954,80832,30424,29137,86575,72863,19526,18346,64828,62078,4954,3817,25616,11618,25510,628,54714,33072,53783,179,32393,19354,32081,177,19794,13868,19296,0,MO-08
20587,14002,8120,8447,97019,86087,15081,17729,123137,115167,12867,12570,119652,117011,5856,3857,15324,6409,15195,68,46271,26193,45511,112,38200,22752,37480,0,30828,20004,29885,0,MO-03
20867,12119,9908,9660,93711,75851,22519,21077,93392,81730,18769,16524,93905,90879,5968,4468,14486,6857,14332,168,51417,30723,50629,161,33442,21455,33279,140,26896,18470,25723,0,MO-04
19928,10877,10831,5392,115451,82753,38091,22219,149899,121021,40120,20818,168415,156052,19708,12146,14736,6207,14612,78,64231,37587,63237,21,61326,35277,59818,325,62405,41269,60917,78,MT-00
18097,14376,4557,5689,63491,54602,11810,12749,94184,85755,13068,12220,65485,63499,3369,4391,10492,5038,10444,126,43247,26276,42373,133,38025,23030,36847,0,23734,14930,22940,9,NE-03
53616,35840,19225,35982,87039,61606,28087,27757,84129,62757,24812,18341,52553,44949,9935,10797,17025,3931,16093,1414,30472,11916,29156,702,29978,12749,28695,467,19631,9734,19015,498,NV-01
21322,17529,4636,4982,96600,79266,21505,14698,143563,125663,24469,18398,153127,144560,13345,9209,9485,3623,8994,394,38774,18360,37227,232,43923,22651,41884,141,47673,27460,46456,138,NV-03
32303,24623,8928,12740,78134,64334,17979,14907,117241,103003,20046,13878,94530,90423,7946,5899,12593,4389,12544,195,31070,15117,30450,60,48135,28693,47101,252,37968,23413,36271,83,NV-02
16034,9536,7273,3636,85020,66917,22855,9926,87880,77308,13244,9406,128393,123241,8443,5083,11398,4763,11349,12,37072,24201,36259,57,32683,21562,31732,67,42744,30913,41016,154,NH-02
23172,12448,12090,5672,94462,69412,28703,11887,96990,79102,23159,8979,130017,122818,10006,3233,15093,6758,15018,56,44490,27937,42730,0,24966,17444,23661,119,30101,23397,27871,225,NJ-01
28286,15813,13345,12031,92964,64323,31340,22898,88558,68792,22615,14491,129546,119336,13509,11021,26501,7706,25578,707,32253,11535,30727,86,17054,8442,15886,0,22346,13249,20158,329,NJ-10
11569,8397,3633,4203,57710,49441,10719,8539,75869,69299,9907,5896,198373,192593,8273,5171,13327,5609,13096,284,39299,23802,37597,192,27673,19050,25777,0,53220,36348,49544,256,NJ-05
11357,8138,3826,7211,57703,48334,11343,11501,65673,60063,7403,5916,218238,212364,8016,5212,8375,4680,8192,219,33891,22456,32899,366,23491,16121,21850,71,54036,37819,49718,306,NJ-07
24856,13813,12072,18579,89016,62553,28284,30306,72296,60556,13789,13030,140169,129569,11768,11802,22409,6284,20868,516,41361,16215,39045,653,18764,10613,17490,125,29568,17662,27712,1309,NJ-09
24658,16926,8733,11568,75252,63619,14981,14497,81237,72265,12462,6759,161227,153862,9414,7693,17224,5567,16429,688,32277,18507,31389,80,19440,12067,18089,92,30776,21078,28932,0,NJ-06
20424,11765,9706,14197,71852,55183,18855,12429,66107,56302,12706,6327,184894,178517,9199,7123,13808,5372,13461,529,35779,21441,34749,231,23972,15670,23187,0,46867,32425,43912,217,NJ-12
25779,10024,17507,13040,69805,42306,32765,13920,96094,72744,32174,9720,115296,102967,17563,3881,14786,4957,14633,305,28454,14661,27805,62,32138,19230,31013,182,44637,30377,43108,217,NM-01
27501,9374,19976,11593,72553,39796,37772,20673,102456,73541,37006,15535,80205,73311,10355,4732,17412,5142,17197,294,30537,14022,29948,371,34926,17615,34132,147,45472,30052,43953,101,NM-03
29409,19502,11658,3195,85897,69427,21506,6779,104105,92752,15923,4152,125207,119295,9320,3018,14011,6805,13654,88,43212,29749,41677,165,28309,20526,26835,143,25213,18845,23883,344,NY-02
28123,9948,20522,1934,67906,43416,29398,3349,96009,76147,25203,5017,150135,138824,15033,3822,14956,7610,14188,0,34961,24157,34100,45,31951,20642,31108,0,40893,28863,39431,87,NY-25
15516,8353,8526,3213,44464,37229,9753,4796,68898,60488,10558,3862,211438,200788,13579,7456,13808,6236,12721,180,36318,21414,34821,187,30814,22013,29484,138,69949,50092,65719,339,NY-03
28469,11473,18478,7250,48214,24232,26549,5331,35685,27973,9650,2603,260335,243540,19961,7694,23938,7254,23515,146,18129,5363,17397,82,17632,7893,17303,104,55946,35709,51275,445,NY-10
67574,25970,46778,13359,88197,49575,44967,14256,80643,50751,34004,8114,132956,116880,19752,10584,39260,6789,38721,1228,20937,6150,20179,0,12634,6591,12301,179,21160,12596,19574,327,NY-13
23468,7570,17644,1606,84763,53932,36894,6008,115382,86959,35117,3994,117225,105481,15253,4345,14605,5965,14310,140,40522,25667,40167,191,35207,23929,34086,0,28367,20178,26680,73,NY-26
34015,13534,22368,6514,79714,47645,34346,13798,73939,53093,23784,7625,156461,140997,17854,9385,22023,5185,20913,896,33649,11661,31730,284,19960,10190,17946,0,33326,20153,29676,94,NY-09
21187,13406,9076,6852,85096,71644,21471,7617,90394,82255,13548,6288,138562,130706,10420,3974,11839,6584,11599,66,37657,26139,36897,346,30708,22149,29725,163,44321,34529,41760,194,NY-01
59789,20961,41462,12929,75447,45274,33471,12138,59511,42856,18974,7708,146639,129461,19174,8954,38030,8370,37255,562,21877,7003,20828,261,9134,5223,8368,0,16083,9765,14666,49,NY-07
23784,13994,10689,7805,57698,42028,19012,5978,74216,59037,18120,4919,181901,172574,14797,4908,12977,5351,12678,264,27351,17142,26173,161,22631,15257,21881,129,54031,38103,51031,137,NY-17
36292,19336,18030,11399,79080,51114,30174,14405,78309,58746,21560,11127,150667,133365,19473,11436,30861,7809,29969,2368,31871,13332,30486,309,21191,10953,20029,258,33340,18609,30858,538,NY-06
42984,22502,22982,13613,100907,66294,38552,12558,102950,75980,30329,10859,100154,85494,17049,7883,28651,8686,26636,625,38623,18393,35616,536,24249,13996,21559,163,23170,15254,20875,676,NY-05
