IncomeInThePast12MonthsBelowPovertyLevel_Married_coupleFamily_LessThanHighSchoolGraduate,IncomeInThePast12MonthsBelowPovertyLevel_Married_coupleFamily_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsBelowPovertyLevel_Married_coupleFamily_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsBelowPovertyLevel_Married_coupleFamily_BachelorsDegreeOrHigher,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_LessThanHighSchoolGraduate,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_BachelorsDegreeOrHigher,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_LessThanHighSchoolGraduate,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_BachelorsDegreeOrHigher,IncomeInThePast12MonthsAtOrAbovePovertyLevel_Married_coupleFamily_LessThanHighSchoolGraduate,IncomeInThePast12MonthsAtOrAbovePovertyLevel_Married_coupleFamily_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsAtOrAbovePovertyLevel_Married_coupleFamily_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsAtOrAbovePovertyLevel_Married_coupleFamily_BachelorsDegreeOrHigher,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_LessThanHighSchoolGraduate,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_BachelorsDegreeOrHigher,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_LessThanHighSchoolGraduate,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_BachelorsDegreeOrHigher,stateId
2551,2138,2061,960,85,885,461,0,1291,4179,1700,403,9302,42194,47788,51009,1375,2975,3065,2275,2337,8771,9964,4258,FL-17
1008,2322,1656,1735,592,1849,495,258,851,2959,3353,830,8923,38296,49612,47235,1732,4429,4053,2709,1512,9159,8806,5860,FL-06
931,2860,1529,788,272,1537,946,149,4562,5159,5371,541,8138,20923,29842,21204,2591,4996,5066,2750,3396,10827,14961,8914,FL-05
2504,2149,1703,1735,964,1562,225,61,3403,3736,3382,977,13469,28370,20682,21677,3160,7185,6360,2926,5366,11990,15515,8404,FL-24
1271,3090,2206,1458,327,469,577,127,2072,3065,1999,579,10829,44820,66425,54227,1250,3109,4616,1746,2423,8193,7904,4247,FL-11
1064,1788,1670,2776,125,107,225,126,650,1353,2163,1274,6574,22083,31855,62518,1841,4118,5143,4748,1891,8251,10755,11076,FL-23
460,2061,1199,1408,579,201,99,0,740,2339,1000,630,4996,29075,49348,58065,983,2211,3390,2023,2649,4181,10613,5395,FL-08
948,2158,1133,938,146,516,203,382,802,1287,1488,367,9048,27560,44150,62360,1447,4203,2943,3074,3711,7175,11262,6307,FL-18
2943,2867,1201,974,987,1189,319,286,2735,4472,5133,626,8312,24378,23795,28029,3247,6093,5197,3752,5668,14845,14330,8404,FL-20
3901,2229,1899,2699,805,696,623,40,2688,2674,2017,1572,21111,27384,28461,42586,4036,5578,4456,3996,6601,7418,8841,7972,FL-25
1158,2350,1592,1215,464,511,681,110,1139,3953,3265,341,5393,23636,40804,51981,1679,3722,3967,2687,1073,8082,11012,7392,FL-03
1055,1184,1862,1896,702,422,218,97,2484,3426,3114,505,8962,24790,32526,52561,2165,3544,4531,1824,4103,7204,9816,8976,FL-10
895,1510,1193,1503,909,202,225,0,956,2471,1027,1068,4539,25573,44930,84399,583,2421,3893,3493,1617,6713,10273,8729,FL-04
539,971,986,884,296,417,154,310,957,2083,1392,390,6322,21244,35092,53367,1805,2563,3347,1933,1918,7582,7647,6735,FL-13
1993,2184,1554,969,354,313,735,385,4050,3331,2514,968,13647,28656,31041,39018,2138,6613,4622,3084,5165,9294,9218,8924,FL-26
1640,1455,1557,1449,693,307,344,191,1186,1132,2649,1380,5175,21611,29949,68094,1619,3394,2976,2713,2594,6554,10576,7432,FL-22
1709,2019,2090,2073,947,1111,308,0,1863,3662,2643,797,11081,30138,44568,48463,1868,4384,5198,3307,2680,9525,15631,8839,FL-09
380,1663,2099,1769,280,264,144,479,1714,2385,2077,528,8036,34092,48691,72858,1701,4287,3795,2491,934,4622,8030,5422,FL-19
690,1545,1363,894,489,846,625,148,1424,3409,3152,612,4940,27331,53386,48423,1119,2138,3972,2351,3181,6832,11459,7455,FL-01
855,1212,1814,1726,188,884,1103,83,1333,2982,2409,838,3605,23384,34317,71636,867,3482,4504,4316,2133,6506,11494,10721,FL-07
3466,1366,1039,2593,353,633,496,60,1655,2520,2648,2169,8806,19105,24081,60468,2954,3166,3307,4964,4956,7757,9694,11586,FL-27
1472,1966,1830,900,318,698,29,116,1779,4039,3548,258,8976,31826,44274,49081,2636,2805,3521,2661,2567,9313,11493,6460,GA-03
1193,1785,624,483,350,566,270,109,2058,4371,4418,449,7648,31276,39402,54990,1122,4149,2500,2471,2934,9554,8985,6986,GA-10
1836,2096,1069,647,561,1226,242,0,2357,1899,2378,483,9604,22295,32997,40712,2164,3247,4275,2653,3070,8309,20100,12686,GA-04
1029,901,666,685,152,1014,432,215,3618,6579,4547,1712,4360,10273,15656,53674,2311,4239,3251,4454,2820,8309,12050,13546,GA-05
1524,2900,1335,741,1384,131,915,143,3320,2700,2615,256,13805,37306,46682,50789,2770,3245,2608,831,3462,5101,10331,4391,GA-09
2815,1611,2579,1383,147,287,827,78,1009,1373,556,766,9419,19777,36431,91764,1398,2890,5444,4218,1717,4727,9067,11754,GA-07
624,360,960,1352,427,394,60,377,855,716,435,1241,3646,9891,22340,118331,1319,1311,1633,4909,1105,2042,5987,9418,GA-06
867,2137,2232,1015,34,601,101,16,3035,4007,5273,366,6589,30735,41137,42249,1543,4254,4593,1787,2711,7627,12118,7278,GA-01
1454,1355,1686,1946,270,115,0,316,1099,1482,2387,660,8417,21463,38263,77127,2356,3491,3008,3824,2990,4643,10865,7759,GA-11
2264,4032,1789,313,1442,439,624,60,2412,5696,3389,614,8679,28428,38597,35773,1097,4254,4410,1429,4504,10677,7403,6164,GA-08
1646,2894,4146,1319,377,468,844,239,640,1626,3162,405,9564,31126,55549,60193,1334,3893,3673,1750,1959,6274,8630,4932,ID-02
874,1346,990,453,55,242,98,0,616,1286,1065,426,4052,18635,37910,52743,466,4380,4495,4019,2165,6422,9876,8392,HI-01
1439,1307,962,438,250,630,553,304,2647,3983,5214,1216,5904,16012,30227,41540,1141,4389,4322,2730,2835,8749,14849,10561,IL-01
1363,1562,376,453,1235,1520,967,67,3916,4330,3507,1171,7061,9636,14266,55098,1861,2859,1721,2764,3226,9512,12459,7631,IL-07
1063,1718,1630,551,884,623,270,0,1610,5192,4797,835,5727,20760,27287,24117,1986,4399,5073,2348,2863,11281,19504,11033,IL-02
501,1360,597,1120,219,346,129,282,712,1863,1233,156,5814,16991,23357,78048,787,2333,3758,3103,2149,4299,5128,9154,IL-05
1129,1475,1221,835,688,956,254,695,1224,3556,3754,1153,4050,24585,34857,44628,1184,3392,2759,2048,1025,6363,8804,5846,IL-13
962,621,559,911,92,132,0,143,326,482,980,641,3347,20436,36098,97991,598,1943,2463,3154,1584,2393,5513,9012,IL-06
793,1368,946,724,562,0,184,127,1484,1094,1741,399,9783,18205,29892,78924,1691,3457,2244,3615,2885,4177,8437,7399,IL-10
2231,2330,853,618,379,486,852,0,3071,2801,1633,302,21096,22566,17105,27011,3753,6530,4576,2491,5408,6881,6736,5992,IL-04
1640,805,921,2241,191,65,0,310,747,517,1374,547,6386,14910,20865,89382,937,1584,2524,3958,1014,3451,5031,9085,IL-09
901,1895,1552,184,500,851,1543,86,1926,3161,4107,864,5687,26217,45727,40041,674,5024,4978,2037,1940,5639,12176,6450,IL-12
1424,1254,907,1622,318,1120,102,0,828,1374,2624,672,10920,24173,37259,52452,1717,3760,2858,3451,3173,6016,9747,6363,IL-08
858,1625,1145,701,39,555,559,0,1369,2585,2277,422,6490,38795,44156,47666,1126,5296,4633,1857,1289,7553,9519,5269,IN-09
1114,2390,1519,300,326,858,708,32,1411,3901,2965,468,7420,42066,46245,38685,1065,4672,4021,1223,2318,8595,6524,4423,IN-08
936,1168,1514,603,572,837,87,589,1226,2620,4025,965,6440,39666,38165,36603,1736,7121,4243,3380,2235,9916,12534,5695,IN-01
817,1795,1237,1631,0,214,118,182,1795,1590,2169,378,4965,25063,35111,97498,628,3786,2448,3779,1011,5067,8462,7199,IN-05
1275,1641,919,766,486,1207,526,116,2790,3330,2948,1246,10097,25410,28685,30033,1809,4151,3338,2792,4604,10296,10849,5307,IN-07
495,1669,2270,797,232,315,303,127,814,3747,3718,556,6355,40588,48208,52134,711,4355,4730,1663,1265,4373,9464,5364,IA-01
1002,2418,1418,917,322,969,168,306,1025,2963,2648,500,8441,38231,48517,55636,1093,4784,4490,1774,1338,5833,10225,4627,IA-02
1231,2056,1637,792,537,642,343,98,925,1734,3364,725,9568,30105,49114,42857,1879,3352,2470,2043,1053,3869,6717,3289,KS-01
1265,784,1358,1377,208,244,179,131,1685,1701,2649,833,6362,18853,34434,94105,1502,2667,3081,4838,1519,4341,8544,8526,KS-03
408,2340,1896,383,267,327,505,151,1042,3158,3324,447,4838,32624,44436,52440,1089,4820,5073,1735,1468,4023,8338,6072,KS-02
2061,2558,1892,942,584,1028,432,0,1900,2972,3395,528,8527,28136,34684,60042,2382,3524,3929,3230,2026,8114,11548,7342,KY-06
2476,3910,2175,715,1050,2416,327,199,4116,4514,3504,491,10292,46189,42769,30007,1650,5871,3381,1402,1499,6021,7674,2447,KY-01
5347,6218,3256,870,2163,1719,112,263,4027,5746,5227,818,16797,41189,32426,25199,2123,4777,2640,1121,3534,6084,6234,2759,KY-05
2024,3496,2548,538,1590,1194,183,50,7767,7878,4103,935,8033,36534,34796,32862,1060,6289,3294,1466,2431,10365,9491,6040,LA-04
845,2167,1164,391,1420,836,711,386,3733,6139,6229,713,6157,23984,25889,29367,2039,4189,4171,2160,6515,10705,13932,9712,LA-02
1763,1316,1624,742,1085,738,257,566,2950,3835,4390,531,8922,32713,36254,59095,1577,2975,3710,2890,2016,8805,11526,7211,LA-01
2864,3325,1305,559,1114,1936,924,393,5435,8729,5623,698,8848,36130,30668,25970,1968,4665,2977,1846,2431,10445,8843,5883,LA-05
881,1307,869,783,0,144,521,299,374,946,2874,492,4247,27813,36476,65766,727,3610,2229,1980,1611,6228,5916,6360,ME-01
799,2283,1131,568,307,869,825,0,789,2328,2235,641,4796,37447,41978,41114,832,5228,3975,1537,930,5626,8681,5522,ME-02
479,1633,1025,1284,163,299,243,11,1159,1231,2384,307,6702,33649,44164,62316,1549,4442,3211,2524,1925,5379,8572,6429,MD-01
539,1557,468,979,31,95,0,49,1275,1305,1908,862,5851,16885,24858,88157,1397,2635,4117,3859,1750,5918,12716,11875,MD-03
392,460,932,807,55,895,129,285,1803,1620,1185,460,9043,18824,28920,53411,3290,5391,3190,3806,3242,12218,14203,13744,MD-04
731,523,574,610,110,711,0,188,744,1758,1435,446,7248,24855,40080,58778,1277,3905,3681,3459,2326,8992,11476,11716,MD-05
663,1092,1275,1196,1101,390,545,258,1754,4178,1782,628,3870,12918,18491,57479,938,3291,3492,2827,4201,10239,13561,12229,MD-07
298,1747,870,909,106,530,794,0,1968,3089,3790,801,6085,24547,33990,50473,1816,5066,4303,3058,2217,8712,11858,11786,MD-02
1001,1564,537,1464,115,406,569,0,267,2176,2129,279,9351,23288,30319,78408,845,2408,3011,3651,2448,4980,8769,11233,MD-06
779,692,504,1185,669,283,99,107,892,1499,1007,612,8617,14665,24846,101462,2569,3591,1540,3553,1848,3947,6787,9794,MD-08
198,576,794,1265,0,95,210,0,356,1853,1920,787,5852,19306,31512,101638,1564,2015,2355,2622,1398,4732,6010,10094,MA-04
2459,852,212,1590,201,431,261,116,3331,4681,3492,840,8850,13662,14721,48040,2531,4146,3803,3132,4323,9984,10084,8454,MA-07
858,1068,711,453,77,370,104,109,1267,2072,2357,756,4427,28775,33413,70990,797,4067,4380,3889,2175,5604,8080,8710,MA-02
592,1142,1018,680,641,804,272,114,2088,1710,2483,550,8209,30190,36564,69155,365,5793,4585,3396,1836,7926,10360,7941,MA-09
655,1173,744,655,0,375,102,303,1257,1885,2218,771,8675,21756,26449,78949,1448,2922,3059,4568,2425,5660,8333,8212,MA-08
1355,1104,1365,924,134,733,428,87,2019,3853,2548,291,5618,27712,32452,48107,1647,6610,4629,3905,3631,10151,11158,8239,MA-01
611,1015,713,1265,158,185,375,348,1261,786,1266,478,4890,15975,19379,103279,400,2747,1893,5576,1918,4192,5793,9306,MA-05
646,2122,2099,431,609,967,710,46,1203,2503,2085,514,6088,38433,48107,48745,786,4003,4711,1981,1498,5329,7872,3395,MI-01
1371,2029,1421,1042,348,363,285,0,544,2543,3057,290,6788,31224,46269,50864,1742,3884,4557,1978,1817,7324,9873,5782,MI-02
699,2293,1356,1057,705,1209,1232,56,3589,4432,5215,1137,3606,14564,20288,42799,1160,2911,4344,2966,3065,9522,14532,10007,MI-14
599,1190,1251,632,935,663,535,0,1395,4018,3827,276,5478,25937,42539,60712,1689,3161,4630,2851,912,7367,7524,5896,MI-03
1488,2493,2240,363,355,894,994,151,2779,5050,4461,837,5247,27180,46717,32931,1166,5411,3918,2824,2751,8207,14034,5163,MI-05
2278,2628,1590,1337,941,2071,1532,206,4478,7089,6487,1038,5962,17767,21820,14300,1965,5346,5081,1566,5266,11606,17415,5830,MI-13
1721,1207,1136,489,72,446,613,363,638,2385,2308,587,7478,29938,40217,49800,1477,4970,6181,3471,2868,7606,10759,7110,MI-09
143,449,1463,815,90,307,562,150,758,1222,1455,1168,3900,22994,38320,74401,695,3804,3744,2300,1680,4017,10255,7830,MI-08
874,1373,970,273,414,657,319,64,1020,1578,2364,176,6273,34872,54745,42445,943,4277,3986,1574,1836,3840,8259,3342,MN-07
724,631,812,643,71,419,211,13,624,983,1140,83,3993,27955,52567,61881,574,3910,4800,2741,1536,4878,8032,4832,MN-06
394,1108,887,556,399,315,318,233,851,1162,2137,613,4954,31325,45966,52613,1655,4303,5386,2516,1181,4142,7327,4428,MN-01
437,603,1068,727,100,337,253,62,440,634,962,194,2503,17187,36871,95961,239,2351,4203,4372,1996,3946,7231,8621,MN-03
1506,713,514,909,178,61,354,412,2465,1800,3546,478,3802,12402,23404,64895,1468,2650,4014,2873,2861,4888,8328,6328,MN-05
2203,2416,2030,943,403,758,542,413,2316,3840,5501,1173,7843,29503,43552,54873,2263,4554,5401,2698,2404,7090,12394,7629,NC-13
736,1382,1853,1465,858,1305,707,0,2971,4841,4358,644,8109,23703,39971,73761,1349,3120,3577,1803,2294,5870,9471,7444,NC-09
1173,1252,1537,994,162,621,561,58,937,1950,2576,464,4763,30240,53671,58365,1266,3610,4858,1965,1591,5224,7046,4625,ND-00
721,1600,1528,927,813,1075,396,85,2826,3845,4312,373,7277,28673,36504,60606,1180,4621,2916,2281,2330,7671,7661,7022,OH-02
1129,2893,1214,658,1160,953,332,139,1612,4331,2756,235,9839,48729,41281,31602,1012,5531,3115,2322,1056,7840,5871,4522,OH-06
1695,2012,1094,302,453,954,561,142,1158,4354,3252,264,7179,44438,48377,34603,916,7462,4674,1467,1373,8120,8721,4159,OH-04
805,963,304,1034,51,728,340,57,417,1240,1413,340,5994,35538,41697,68528,985,4544,3611,3249,1313,5207,7465,6345,OH-16
684,1465,1502,1112,987,1378,744,184,4335,5716,7463,516,4263,16397,20113,35427,1103,4415,5043,2600,3429,10239,19714,7768,OH-11
1078,1824,1185,609,88,308,271,121,2237,3773,3029,985,7438,41919,40875,46013,1856,6603,4434,2460,1806,6928,9273,4354,OH-08
1607,2307,2335,1300,937,509,294,0,2336,3179,3635,942,8209,25851,44391,61708,2049,4426,5284,3183,2811,6418,10963,6468,OK-01
1989,2904,996,755,1284,435,537,543,2824,6133,3201,585,11557,22601,35892,57860,1996,4671,4263,4405,3472,7871,10771,7892,OK-05
1625,1026,892,1071,138,324,350,337,2494,1749,2330,816,7082,17967,37160,74681,2109,2435,5515,4482,1977,5263,10778,9024,OR-03
325,1992,2418,1164,389,513,1184,127,565,1881,3499,476,7807,31616,55861,53519,809,4799,6192,1879,2123,7130,11188,7072,OR-04
276,691,793,396,801,378,57,80,1581,2125,1127,350,7266,18609,18618,38617,1999,4209,2723,2599,1827,6103,5706,4277,RI-01
1446,2345,1125,641,383,185,748,154,2702,5016,3249,1011,7194,32196,41573,41959,2034,4391,3433,1833,2535,9226,9062,4507,SC-03
2805,2201,1580,746,627,541,357,119,2684,6241,3778,660,8892,33921,41780,38061,2576,2887,3247,1376,3119,11851,11529,6336,SC-07
719,1622,2319,909,1145,440,307,144,3312,6634,5889,1375,8134,22882,22045,24796,1682,3343,2530,1415,4170,8537,11535,5785,SC-06
2457,3575,1777,1494,872,1152,166,36,2587,3221,3495,547,8747,33331,43353,46377,1606,6171,3525,2704,2507,7674,7818,5117,TN-03
1691,1427,1628,518,787,1950,571,151,2565,4507,2628,635,7149,33170,37139,40866,921,3543,1818,1742,1966,8946,9341,6782,AL-01
2278,3439,2136,609,269,493,275,7,2348,3241,4472,333,10670,29635,46174,43201,1957,3005,2390,3270,4102,7302,8019,4695,AL-03
2044,1965,1254,1432,454,615,167,695,2752,3411,3334,1113,6837,28320,41171,64143,948,3929,2531,2751,2272,7921,8553,7056,AL-05
2461,2985,3215,331,1172,805,99,22,2834,3208,1840,662,13715,39380,43074,31856,2198,3197,3087,1078,4338,6083,8351,3517,AL-04
1086,1336,1997,652,405,672,838,264,3716,8581,6761,1125,5415,26924,23216,23340,1326,6030,2696,646,3635,10434,12933,7197,AL-07
1235,1645,1642,1265,394,1463,330,38,2660,4858,5535,802,8328,27728,36090,36118,1512,3308,2526,1869,3750,8649,9813,6571,AL-02
1264,1869,1553,965,562,314,240,38,583,1905,1600,815,6468,26925,40918,68158,1286,1910,2980,1460,1944,4769,8756,9310,AL-06
445,1847,1356,452,204,657,389,66,874,1579,2435,390,5267,23257,44268,47716,496,3899,4993,2029,1216,6208,8792,4299,AK-00
1991,1677,2223,1717,878,1412,844,98,2753,4150,4342,641,8472,24484,47533,46961,1509,2615,4159,1273,3206,5795,12212,4718,AZ-01
4105,2313,1703,442,1021,1962,1638,164,5009,2719,3586,823,17597,28375,38618,22652,3421,5440,5709,1970,7315,7854,12106,3343,AZ-03
689,1268,1923,894,40,570,235,427,380,757,1803,741,6083,22288,56826,81580,733,3520,3957,3076,1663,3681,9791,9626,AZ-05
1291,2595,4523,1636,323,559,769,100,1425,1577,2552,496,10559,40859,69295,44239,1229,4199,6346,2064,2918,5878,10180,4997,AZ-04
5906,3232,2199,973,2145,1432,937,237,7457,5504,3883,450,22771,21461,22275,18155,3001,5923,6829,2033,7933,11927,11858,5640,AZ-07
1796,1530,1640,1354,386,811,1172,0,910,2144,2371,826,5772,19592,46465,55964,892,2136,3981,3537,2920,4281,10341,6980,AZ-02
1657,1329,1099,1456,369,346,489,773,741,1736,1413,765,7723,16722,44591,86722,1372,2952,5439,4055,1957,5620,9359,9067,AZ-06
835,1462,2968,1602,350,144,153,199,605,1364,2886,463,6710,26680,58483,65242,1998,2747,4898,3484,1238,6290,9512,5688,AZ-08
2341,3470,2059,1030,245,456,428,457,2530,3203,2435,715,14633,37728,41221,56509,887,4852,3849,1175,3566,7519,9613,5674,AR-03
1747,2034,1744,936,184,1732,1026,64,1268,4728,4225,748,6265,31237,37866,51186,760,4268,3869,1669,1922,9651,11283,7312,AR-02
3359,2226,2241,1061,392,756,366,129,3156,3506,3105,514,13713,24595,42251,38930,1651,3231,4883,1741,4930,5956,11528,4199,CA-36
3850,1765,445,556,976,327,171,112,2917,1685,916,297,27831,20911,23570,23464,3090,4400,3886,2529,6139,4802,9020,5848,CA-46
55,531,458,1778,86,186,146,319,233,579,857,917,3434,8245,22960,98887,459,729,3103,6288,592,1794,3484,10045,CA-33
616,756,441,1305,198,241,100,59,848,1187,342,432,7862,19095,33861,93641,813,2000,3387,4975,1779,4935,6420,8100,CA-15
3044,1649,1715,665,403,362,765,106,2075,2356,1856,684,13631,14332,28810,46896,2333,3664,4529,3612,5615,5099,8725,6789,CA-47
1059,1847,1418,524,804,896,297,84,2151,3305,3489,529,7613,32821,35916,60566,830,5601,3293,2226,3571,8520,7788,6409,TN-08
2472,3177,2478,578,876,438,948,268,1160,3403,3337,535,12649,44830,49297,54459,2519,5604,2565,1989,2767,7028,7829,4504,TN-06
5323,2888,2201,211,984,1321,918,98,9423,6391,3614,396,29274,27901,23067,12517,9606,4859,4458,926,5979,7976,10112,4252,TX-29
3256,1346,3387,606,460,534,722,0,3591,4146,4946,1138,12699,28719,39884,36323,1864,6057,3512,2402,4849,7136,10849,3661,TX-27
836,1821,1686,976,340,144,358,0,2807,4810,4107,450,10504,28218,45323,44689,1304,6030,3824,1626,3137,7260,11994,5506,TX-14
3432,1849,2403,509,489,668,480,91,2215,3114,2675,657,15868,29603,40787,33352,3462,6457,4631,1212,4905,8748,9630,4516,TX-05
1649,1083,702,1431,84,260,483,317,2237,1971,2272,1331,9295,30849,45784,85243,1870,4639,3036,4343,2471,5357,8052,9569,TX-10
3182,3313,1257,1123,1422,681,697,0,5017,4153,4763,725,16232,26426,28866,32125,3447,5406,3768,2900,7980,9181,10795,8695,TX-35
879,680,1956,2301,881,153,0,314,733,480,888,719,9458,24519,47123,113367,1042,3333,3972,3704,1480,2185,10294,11897,TX-22
1797,1923,1983,1349,249,483,174,0,3030,3240,2912,991,14241,28239,39193,38107,1301,2865,4566,1266,2574,7309,8384,3767,TX-19
614,1344,2254,2714,426,379,489,371,477,1589,1628,546,3657,17997,49439,75529,343,1820,3616,2372,1199,3660,5723,5647,UT-03
1554,1814,3157,1060,55,445,226,107,367,1149,1395,500,6657,24362,54841,56788,928,4050,4972,2471,1909,3884,7783,4121,UT-02
243,1027,1511,978,336,496,589,0,3121,4558,6279,1386,6032,23519,38144,37853,1388,5207,4003,2722,4562,10714,18017,8033,VA-03
341,1110,900,302,485,414,30,41,1872,3433,3373,548,7261,22843,36390,51075,1581,3836,3563,1522,2262,10841,11226,8633,VA-04
666,1387,1235,781,292,229,10,69,1363,1216,2438,522,4719,20389,47609,65380,899,1981,4502,1807,2260,5560,10856,8981,VA-02
788,1546,510,525,591,461,546,285,1702,3697,2199,596,9206,35813,41049,48556,2427,5085,3991,2300,3223,6712,8180,5244,VA-06
405,790,1328,1048,377,182,184,47,826,1215,1667,329,4607,22528,46133,94496,1630,2487,4641,4015,1156,2916,7329,5708,WA-01
640,1918,1851,683,91,628,605,0,657,1974,3766,449,4168,23617,52457,52756,585,3834,5514,1772,1450,4985,10528,5169,WA-05
556,510,645,638,89,213,730,61,1345,1447,2334,810,6594,23097,48847,60186,1322,3024,4649,3756,2272,5425,12185,6784,WA-02
432,1582,1868,580,22,644,530,97,90,1213,3187,727,3618,24960,53875,58043,1010,3805,5407,2669,1912,5777,10500,6942,WA-06
1960,4466,2027,350,370,1887,776,201,1550,3887,3387,285,12626,40472,27556,25090,1835,4680,1681,1469,4011,5620,5827,2836,WV-03
265,1179,1031,502,0,664,216,0,962,2113,2589,725,6612,32151,46460,58631,985,3851,3530,2045,2267,4535,9818,4453,WI-01
909,808,1086,731,30,203,39,0,138,1265,1549,298,4510,27562,45755,74772,298,3954,4770,2580,922,4913,8039,7658,WI-05
509,898,1568,855,6,638,101,65,395,1700,1679,280,4195,24201,36846,78418,863,3252,4071,3874,1408,5032,8778,6003,WI-02
337,1344,1089,1284,393,348,226,364,410,2187,1717,424,3629,31310,43585,40967,529,3356,3608,1648,1107,4058,5319,3620,WY-00
1234,1555,828,605,294,1345,828,20,1580,2989,2558,516,5475,42063,36103,49144,692,5793,3081,1853,1846,8107,6070,4920,PA-14
607,777,1310,633,63,269,422,0,1717,1735,2163,858,6742,22620,24252,85810,1243,3251,1925,3707,3136,7595,7456,6947,PA-06
1187,2071,870,626,707,1399,487,100,950,3435,1307,912,10349,47590,33160,40355,1238,6253,3229,2125,1418,8266,6113,4739,PA-12
442,687,309,778,154,0,189,137,584,880,1381,936,3824,21930,37790,105126,1017,2572,2060,3643,1250,3779,6690,10008,MO-02
820,1145,1733,844,553,1093,845,110,1815,5990,3945,827,3490,17122,24325,41306,995,4391,4376,3159,3797,11997,16792,10778,MO-01
946,1440,1431,1143,376,1042,195,66,3654,3588,4452,1191,6214,29772,36890,49488,979,4622,5415,1654,1943,9220,12450,6965,MO-05
373,874,965,555,99,188,581,36,756,1325,1821,878,5692,24118,45098,52367,1266,2859,3834,2282,1543,4623,5836,4033,NE-01
1257,1187,686,1042,218,829,234,89,1197,2093,1758,394,4600,19089,34763,65976,2215,2875,3286,2754,1663,3465,8396,9435,NE-02
1345,1434,1568,737,587,238,351,42,2315,2854,2730,981,13713,28267,44911,29979,2224,6496,5496,3269,2917,9696,9501,6452,NV-04
358,787,1078,636,320,569,313,141,586,820,1582,1074,4896,29028,33996,67694,599,3540,5044,2977,1426,5039,7681,6599,NH-01
723,443,607,843,0,56,485,0,287,1603,1547,571,5544,34040,38465,67565,601,3384,4028,3752,1439,9301,9862,8825,NJ-03
266,1596,1487,1409,0,535,223,401,818,465,1365,333,5888,29569,33480,77507,471,2658,3519,4276,879,6191,4608,7915,NJ-04
687,1857,1038,560,909,159,348,0,2058,2509,2318,673,7178,38405,35201,46144,2306,4175,3989,2295,2354,10440,8708,6938,NJ-02
306,468,1111,512,247,0,58,105,168,605,271,283,3299,18979,27711,106413,639,2794,2089,3471,1180,5224,5229,9364,NJ-11
1443,2588,1124,619,441,815,513,239,3930,5410,1855,604,15187,29580,18620,46202,3536,5169,4494,3203,4329,13434,9425,7436,NJ-08
5350,2618,3061,526,563,636,1159,51,3693,3339,4137,378,13691,23563,37306,27717,1480,3643,4574,2574,3972,6088,9694,5452,NM-02
731,711,470,827,877,643,670,453,2477,1620,2944,1420,4215,21668,34452,63231,1463,2869,3744,3781,1821,7565,11926,8873,NY-20
1804,2804,1665,406,1300,1089,449,9,1595,3299,2414,782,8529,36202,41441,42684,723,5750,3779,2771,1518,5959,7934,5323,NY-21
494,685,657,999,497,68,60,132,574,1781,794,175,8965,21159,29997,69701,1206,3738,3454,5129,3054,7651,7107,9753,NY-04
1886,1672,1477,620,397,329,631,188,2471,3873,2850,830,5828,31665,41457,41155,932,3823,3428,1924,2208,6441,7936,5917,NY-22
