Less_than_high_school_graduate,High_school_graduate__includes_equivalency_,Some_college_or_associate's_degree,Bachelor's_degree,Graduate_or_professional_degree,Male_Less_than_high_school_graduate,Male_High_school_graduate__includes_equivalency_,Male_Some_college_or_associate's_degree,Male_Bachelor's_degree,Male_Graduate_or_professional_degree,Female_Less_than_high_school_graduate,Female_High_school_graduate__includes_equivalency_,Female_Some_college_or_associate's_degree,Female_Bachelor's_degree,Female_Graduate_or_professional_degree,stateId
27288,35458,43706,60528,82233,30105,42286,50107,66962,98847,25214,30113,38785,51976,73808,MD-02
30754,33126,40856,61732,94025,40738,40451,49078,76306,111252,20515,26238,34181,55675,82026,MD-06
23840,35378,44176,72287,100608,30356,41118,54682,90336,121922,20382,29412,36484,56798,85944,MD-08
31600,41768,46617,71646,96407,41526,51329,52888,87294,127077,19452,32204,34893,61374,78536,MA-04
30892,32638,37291,60763,77180,33276,36323,41433,65853,87168,25838,30493,35362,55323,71408,MA-07
30482,40323,41686,58664,78622,35174,46643,52976,72088,93915,21967,30762,34912,45131,70795,MA-02
30986,41213,43745,54947,71911,32216,51234,52493,67725,90383,26446,33346,36076,47724,64690,MA-09
31052,40910,41869,71308,89204,33969,48610,55032,82249,101819,26094,33971,36217,61397,78485,MA-08
25219,36231,40976,52200,67793,28129,42442,50974,61169,77437,20756,27402,33692,48862,61881,MA-01
26419,38846,45739,71099,96480,32016,45408,51918,85108,111797,20760,27446,40052,59992,82126,MA-05
20567,26936,31889,42468,60121,26665,32753,39989,52783,70244,12496,20724,26437,35319,50897,MI-01
27948,31028,36351,50644,62343,31686,37148,45990,62499,74965,22404,24922,30731,40910,54376,MI-02
21594,28335,32065,52065,68801,25474,30479,36157,65599,82132,19560,25996,30111,41958,56207,MI-14
24896,32523,36722,50670,67770,27388,40306,43628,66037,86817,17784,25422,29206,41815,60333,MI-03
20049,29011,35238,50325,68686,21076,32414,45013,61613,89444,17026,22516,28926,39266,55074,MI-05
21161,29181,31958,47981,55634,25355,32284,38086,55848,63043,15462,24829,30014,40553,51443,MI-13
25512,30895,37507,57166,75904,29489,37392,46329,71407,88729,20597,25739,31400,41570,62489,MI-09
22461,31831,36894,65160,81340,27393,39091,49227,81032,101873,17328,25540,30890,49504,67495,MI-08
30232,33322,40990,51008,61989,32309,41216,50636,60163,68173,23946,24365,32215,43295,60362,MN-07
30017,40405,48610,62447,77263,30728,50186,60053,75416,87249,25894,30726,36775,54612,72576,MN-06
29645,35695,40052,51643,67156,32500,41879,48424,59503,75717,24910,25411,32942,47093,61583,MN-01
