Income_in_the_past_12_months_below_poverty_level_Male_Less_than_high_school_graduate,Income_in_the_past_12_months_below_poverty_level_Male_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_below_poverty_level_Male_Some_college__associate's_degree,Income_in_the_past_12_months_below_poverty_level_Male_Bachelor's_degree_or_higher,Income_in_the_past_12_months_below_poverty_level_Female_Less_than_high_school_graduate,Income_in_the_past_12_months_below_poverty_level_Female_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_below_poverty_level_Female_Some_college__associate's_degree,Income_in_the_past_12_months_below_poverty_level_Female_Bachelor's_degree_or_higher,Income_in_the_past_12_months_at_or_above_poverty_level_Male_Less_than_high_school_graduate,Income_in_the_past_12_months_at_or_above_poverty_level_Male_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_at_or_above_poverty_level_Male_Some_college__associate's_degree,Income_in_the_past_12_months_at_or_above_poverty_level_Male_Bachelor's_degree_or_higher,Income_in_the_past_12_months_at_or_above_poverty_level_Female_Less_than_high_school_graduate,Income_in_the_past_12_months_at_or_above_poverty_level_Female_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_at_or_above_poverty_level_Female_Some_college__associate's_degree,Income_in_the_past_12_months_at_or_above_poverty_level_Female_Bachelor's_degree_or_higher,stateId
7408,9120,7748,3865,7274,14076,12306,4936,16071,54644,59633,68169,15238,56094,66944,89838,MO-01
5953,8808,6082,3457,7633,11763,11688,4332,16932,71527,65933,73387,15684,73655,75310,77346,MO-05
1497,4670,3875,1365,3287,5657,5890,2975,13890,47200,66467,64509,10813,45057,66702,68941,NE-01
3009,5179,3495,3016,4600,6425,5378,3799,12695,41592,58347,85136,12577,40696,59067,94979,NE-02
4740,7287,5965,1852,7363,10627,9505,3407,28981,70628,79225,49378,28341,65920,80323,53939,NV-04
3527,5734,3548,1983,2548,7863,5499,3656,12994,63341,60956,84580,12183,57410,64345,98164,NH-01
1782,4423,2584,2059,2780,7057,4077,3304,14245,69861,61535,87646,12533,79104,71434,96720,NJ-03
1837,4462,2961,3674,2729,7395,6048,3815,12654,56877,54689,104317,12308,59894,57966,112176,NJ-04
5178,7457,3295,1826,7853,9647,6071,2777,23559,75977,56964,57280,19758,75274,61311,74067,NJ-02
1859,1826,1913,2398,1646,3831,3044,2676,8840,42003,41274,139197,10282,48776,47728,146017,NJ-11
6979,8314,4314,4558,15335,13892,6092,5103,41536,66674,41064,85327,33981,60250,40129,92472,NJ-08
11743,10630,7712,1739,17487,12394,12951,3335,27246,57413,61279,37757,26116,47322,60893,50708,NM-02
4537,5930,3433,2528,5751,7879,6751,5619,14198,52141,62981,91394,11722,53911,64203,103122,NY-20
6917,10462,4258,1603,7622,11139,9196,2478,19250,73795,61226,51193,15007,63071,66229,64672,NY-21
2183,2410,2608,2667,3166,5329,3105,3654,23258,52453,56118,100222,21305,57548,53629,115109,NY-04
6624,9314,4163,1861,6943,13207,7891,4253,16997,64145,64906,54163,14763,62356,67747,61494,NY-22
4922,8840,5335,2565,5526,10434,7922,3715,15516,70762,62690,69182,16467,61855,66947,82151,NY-19
2778,5581,3918,1656,2698,9153,7904,2839,14291,71760,68803,77547,10764,66047,71910,88863,NY-27
5257,7423,4099,2815,11746,11117,6501,4091,42837,69478,47691,62048,40160,57093,47706,72251,NY-14
5343,9397,5324,2415,8360,11414,8607,4357,16792,60446,60472,67739,12478,56135,68761,79990,NY-24
4818,3931,2843,2098,6315,5366,3807,2807,30008,48609,65378,79958,29590,42527,72801,87079,CA-26
4560,3245,3215,2287,6529,4014,5126,2742,38138,46325,62594,95601,39375,41987,62839,87881,CA-19
3678,3726,4895,3276,5787,3837,6988,4509,31291,36545,63714,80381,27362,41985,66999,80790,CA-24
6815,9373,6357,3784,8888,13165,11419,4259,26025,56651,68918,64187,26495,49267,75512,79843,CA-06
4818,3749,4197,2889,6724,4827,5847,4779,28935,43461,59566,109298,25602,34364,70555,122278,CA-11
8296,8298,8242,1862,10115,10101,13300,2273,30479,57653,66590,32869,26298,52088,70994,40455,CA-08
4535,7701,6410,7888,9246,10291,7403,10900,21153,37776,58295,117509,21494,37022,56758,123767,CA-28
6181,6961,6139,6613,10832,3836,6577,7041,24995,31324,47505,191541,25472,28422,43327,173628,CA-12
3070,5263,6737,3574,3678,5265,10066,2560,15741,51863,84732,91347,14439,50372,98486,96787,CA-04
7018,5600,4691,2070,9823,6254,6970,2573,49523,65061,62396,34650,44583,59097,69687,44237,CA-41
1625,2379,3005,5777,2622,2601,3740,4772,18737,34186,47293,177962,23600,32771,51439,155280,CA-17
5248,5660,3900,2233,7687,6018,4349,3367,36008,58278,71111,51522,41626,51842,70904,63063,CA-38
1719,4758,8368,3702,3987,6979,8737,4001,10514,53630,83971,98596,10101,49412,87807,101695,CO-05
3131,7019,4519,2509,4998,7655,5133,3385,28132,62167,71148,95091,21723,61895,73524,101005,CO-07
6793,7002,4527,3477,8746,16010,9152,4705,26968,87905,79744,102359,21811,90827,89993,116844,DE-00
6005,7116,3838,2666,6774,9510,6958,4052,16935,54888,53887,87132,15482,55083,63921,96998,CT-01
7415,6879,3007,1605,8177,9786,6495,3105,20744,63179,51758,81434,16974,57296,60124,92881,CT-05
8647,11468,7589,4625,9602,13262,9262,6043,23628,58895,59115,103538,20096,62619,64705,104572,FL-14
5655,9081,6074,3653,6213,10505,8595,4130,22419,79482,76018,102055,21993,85839,101235,106498,FL-16
6197,9609,5142,3737,9633,10494,10105,4334,27581,74222,73351,62888,23925,75954,86595,73429,FL-15
4758,11095,5751,1867,6130,13248,10180,3437,20066,76478,79120,78319,20869,86062,91022,86335,FL-12
6246,7511,3487,2106,8389,13549,9404,3398,21340,67659,59958,56435,14810,62718,78419,62276,FL-02
4317,5482,6353,5734,8659,8930,9902,6592,31237,58718,65994,103676,22138,67636,82920,103643,FL-21
3336,7890,2656,860,4752,10373,7996,3821,21856,64480,68277,56601,21883,67146,77988,91153,GA-13
10907,10307,5631,2874,12297,19006,16617,2480,19596,57485,52794,32836,21832,51613,65745,42553,GA-02
6547,8158,2346,1843,10331,12805,7426,1462,38486,70995,62107,37575,31172,70090,69914,48822,GA-14
6350,8437,3531,1878,9985,16596,11786,3525,23932,70298,53835,44594,24654,61550,64095,54859,GA-12
4638,7089,7864,2200,4595,7931,9530,3456,21628,78832,100813,79339,20335,69755,115494,85423,ID-01
2387,8229,5723,3065,3398,9065,6931,4435,11938,68423,70158,60941,15867,56995,69700,76642,HI-02
3948,8041,4753,1712,2675,8569,6267,3463,9868,63225,60248,73873,9286,59683,73262,82771,IL-18
685,3211,2348,917,1789,4389,3907,1656,13256,51406,66812,100207,12077,50538,68018,105483,IL-14
4149,6745,3883,1489,4340,9142,9427,2401,17293,71921,70064,50286,14014,67885,77325,57576,IL-16
5822,12003,6006,1653,6941,13194,10427,2028,17620,68342,61564,39905,16042,61370,74465,47918,IL-17
2690,6127,3200,2487,5658,10444,4845,2940,26301,60321,65388,66115,23236,59537,58502,79220,IL-03
2635,3353,3688,2328,3991,5202,4809,2987,25157,52019,55315,80502,24166,53629,59334,91691,IL-11
3684,8240,4770,1067,5628,9737,9912,2133,17034,72431,71861,42891,13168,64157,79575,53463,IL-15
5413,8685,4392,2226,6602,12926,7828,2198,24209,78558,54945,48234,22155,72903,63429,54112,IN-02
5275,9044,2853,2444,5231,11533,10017,2356,22052,84503,60623,45618,19353,77347,67964,54724,IN-06
6727,5883,2965,1629,5738,10318,6506,2589,24318,73826,65207,56950,22295,71822,72448,59729,IN-03
3528,5842,2619,2698,5069,8917,6890,2477,20073,76289,65183,60536,18123,73889,71174,66509,IN-04
2903,7123,3809,3297,3454,11378,8113,3689,18555,78762,75326,54770,12996,63049,80569,64975,IA-04
2624,6754,6474,2926,4417,9320,8360,3713,18143,65205,79481,91476,14588,62538,84363,101605,IA-03
5763,6117,4333,2229,4731,9292,9975,2407,16288,58411,70265,63101,15002,52102,73964,74592,KS-04
8548,10679,4151,1347,8878,15339,8135,3686,25341,81073,66876,47695,19490,70280,78181,61120,KY-02
5700,8998,3825,2940,8529,12270,12856,3646,15651,57231,61690,83219,13212,59167,73332,86720,KY-03
5692,9169,3752,1131,7355,10333,8417,2628,20971,72161,64401,69365,17756,64034,74131,77319,KY-04
6254,7425,3854,1975,7043,16145,10494,4333,24239,73807,59546,68552,18209,69050,68519,84542,LA-06
11611,13483,5271,2548,14003,21474,11520,5281,27559,79044,55984,49180,20457,74901,60232,64820,LA-03
2615,4556,2815,2616,4110,6545,5723,5065,17185,56764,51261,116521,15861,55701,60305,135030,MA-06
4340,7250,2420,2211,5782,6352,6723,3155,20906,67020,55452,95926,20323,59982,65526,104468,MA-03
4069,7079,5024,1547,5209,9960,8769,2894,14938,71836,70441,60304,14746,64111,76421,68257,MI-07
5263,8971,4797,2494,7253,9183,8815,2807,17369,62736,68476,60836,14583,59471,74157,71094,MI-06
4212,6214,3326,1233,3330,10489,7204,2432,17836,72428,82926,59168,15732,68232,88443,64501,MI-10
5000,9588,5267,2062,4859,11761,10306,2697,16356,76167,69572,48945,12536,66341,73084,59335,MI-04
1248,4105,2688,2216,2241,4907,6313,2796,9378,40325,67948,127274,9913,44555,70843,125238,MI-11
3995,5982,4815,3933,5899,9729,7462,4906,15754,54570,60238,72186,15258,52451,62603,79365,MI-12
1142,3307,3492,1207,1639,5375,5393,1579,10746,49808,69053,95298,9348,44485,77897,97578,MN-02
3429,8223,5885,1957,3610,8559,8951,2709,14196,71517,79836,48557,8307,58095,80521,63618,MN-08
3052,6317,4125,2503,4805,7400,7683,3763,13028,46646,56179,99007,14196,41963,58762,110768,MN-04
4083,6643,7425,7148,7203,6702,9032,6156,22079,47116,77058,107959,17170,40386,78223,107056,AZ-09
7143,12225,6085,967,10953,16323,12598,2616,25334,85536,55308,31797,21118,74191,69804,43441,AR-01
7346,14957,5736,2285,9841,16026,13767,3056,22200,81565,55663,33653,19315,70805,69701,45615,AR-04
12265,7625,5825,2348,19907,11519,14429,3052,60375,50311,51182,24473,45485,37567,60105,29236,CA-16
9541,7678,6553,5932,14758,8957,8093,7221,36676,36230,50840,95044,37686,32393,58864,100058,CA-37
2696,4724,5622,6596,5113,4982,7337,7552,17581,43233,87277,99918,24297,43846,78413,108779,CA-53
5940,5793,4256,2161,8124,8941,10547,3399,34392,49776,66542,56328,33767,52048,70436,64651,CA-31
6314,8199,5230,2774,10594,10592,7541,4788,26958,81432,66833,55701,22966,78555,80168,64518,TN-04
6147,9824,4945,2244,4991,14555,9376,4705,15848,68978,58117,55662,12753,56175,67293,68687,NY-23
5840,5233,3542,3463,8970,12744,7028,5732,30720,49168,47273,87664,26543,47953,53958,110741,NY-16
4872,4836,2962,4339,8369,8993,4040,7592,28220,61620,50147,84942,24771,66065,51420,99152,NY-11
20088,16910,8735,2778,38117,23591,21903,5281,35260,53194,37023,24372,41303,45085,47473,34246,NY-15
8742,14771,5207,4669,16438,24453,8973,11656,23674,61415,42373,77653,26491,64664,55127,98731,NY-08
4642,4952,4916,8222,8021,5153,4655,10865,9497,23746,25282,194354,12885,22297,28162,203026,NY-12
3065,6580,4357,2662,3890,8325,5000,4497,18400,55375,62854,74596,14340,51579,65227,92363,NY-18
10404,8811,7011,3423,12992,13817,12561,5760,30891,58123,51357,56825,19422,57296,73256,83427,NC-01
6370,8822,4598,2483,9394,14032,9973,4359,24191,71542,78880,66030,21367,60174,94896,88255,NC-07
5740,6073,4442,2614,6968,10116,7901,3178,20252,61118,76618,104616,17082,57272,91038,118338,NC-02
8049,11628,5911,2282,12851,13795,11949,3133,31772,70434,65592,54591,24262,69393,78073,78093,NC-06
5067,8544,5113,2114,7298,10671,10518,2765,21010,64466,72138,56182,18081,59979,86953,66009,NC-03
7829,9399,4856,3011,9606,13317,10831,4552,27058,65470,76257,60258,22042,70186,82175,74721,NC-10
3240,5589,3296,4892,5761,6175,6066,7863,15850,36775,55300,149876,14579,36250,62017,161247,NC-04
11536,7530,4537,2276,8125,14985,12084,4287,26467,66518,65369,60891,20426,60749,81354,73613,NC-05
4472,7543,4306,2652,6143,9497,6949,4244,14063,59114,53185,86280,13007,57839,62768,94928,OH-01
7250,7745,6414,2026,9255,11480,11179,3471,29830,71320,76880,65696,21379,68410,91820,78369,NC-11
5324,7244,6082,1912,7366,11047,14677,3934,22433,67947,74727,62956,18217,56816,89175,78635,NC-08
5121,6910,4675,4928,9787,8202,9668,4575,30231,42017,72611,111571,21714,46055,89701,126661,NC-12
5209,7904,2530,1062,5768,11563,7993,2231,25237,91875,57492,46825,22399,83742,65451,54519,OH-07
3770,5968,4089,1628,4182,7993,7915,2684,18242,64193,61866,81021,13541,66439,72263,86652,OH-14
7924,10648,8276,3302,9692,16130,11874,4421,22627,63246,64066,71814,20392,60507,69563,76556,OH-03
6385,7944,6533,1952,6147,10174,11586,3576,13683,58089,67691,68935,15077,53808,77481,78292,OH-10
3052,5889,3051,2145,3783,9134,5918,2163,13727,78164,67109,62175,11464,70205,76082,70525,OH-05
5182,13704,4830,3270,7298,17843,11803,3654,16850,78988,58114,48777,16088,74267,65695,60829,OH-13
3594,8331,2890,3418,6576,10120,7496,3733,17592,74697,58431,83929,12555,66973,64679,95114,OH-15
7885,9124,6806,2221,11283,18476,14393,3942,20119,65014,57191,50266,18840,60165,67006,56015,OH-09
2988,6609,3976,1194,3901,9266,6963,3276,12896,57043,59800,109390,12765,60643,67261,113511,OH-12
9895,16018,6936,1571,11392,17277,15472,3280,24267,79174,63369,34060,19568,69383,71888,48559,OK-02
5255,9479,5455,1661,8889,11850,10439,3258,21265,78171,61533,54615,18884,73268,67972,60493,OK-03
4570,8874,4484,1859,6047,11055,8227,2499,18226,70776,73625,60534,20170,71709,76786,67568,OK-04
3262,6153,5677,3967,3519,9413,9907,5117,17695,53884,84102,116850,16164,51095,91267,119217,OR-01
6178,7261,5652,4626,5100,8194,11446,3007,25866,58049,85397,84490,19690,56830,101537,93681,OR-05
5981,10501,8469,3044,7154,11750,15141,3966,26236,66608,90877,72215,19129,72430,92718,81559,OR-02
1852,5687,3658,1595,4135,6232,3504,3453,13000,46570,44897,59905,11828,46525,50810,69440,RI-02
2694,5231,2279,2453,5040,7994,7322,4274,19350,54457,77175,108079,14896,58246,86347,121881,SC-01
6771,4937,4205,2997,8483,7707,7781,3181,26084,54250,64787,79017,19750,56944,77204,86891,SC-04
5015,7744,4070,1449,8620,11021,10559,3603,21383,65801,69839,59106,19007,62859,84345,70107,SC-05
4974,5299,3736,1682,8326,9620,9321,3204,20031,53600,61872,76118,15311,54227,69557,91482,SC-02
5207,10943,5117,1809,6250,11302,8702,3295,19110,79108,83611,81198,12247,69326,90231,87775,SD-00
9732,10624,5439,2424,11568,17175,8968,3633,27525,79556,60067,49214,22154,77635,67079,58474,TN-01
4977,5759,4180,3942,7749,8986,6881,8228,24557,52293,57389,101217,17659,52963,60810,119677,TN-05
6430,7938,2853,2019,5311,13275,7391,2409,19267,67592,63715,78650,19848,71763,64312,87381,TN-07
6712,9667,5028,3065,8019,12212,8160,3337,19720,66170,62223,74523,20002,64776,73423,82487,TN-02
9015,13361,4915,1105,11505,18394,10972,3436,21466,59698,52054,41150,18761,52939,67050,64878,TN-09
15128,8390,4890,1815,23673,12862,6269,1616,39456,53926,51690,40927,40809,46713,57170,46560,TX-28
7608,7710,5178,1551,9045,14377,14464,2326,25485,57861,67201,47422,21960,53851,76522,53496,TX-01
3512,3879,6168,6310,5716,6534,6104,5297,22812,32629,55317,122297,16585,38158,62303,128979,TX-07
2394,4388,3829,1915,4332,5691,8436,3679,23314,60533,72707,75744,23403,60719,82203,87722,TX-06
5680,7426,5054,3585,7133,11796,9765,3916,23716,54828,60620,71404,22467,48843,64065,78616,TX-17
6361,9056,4697,709,8179,12952,8257,2419,30860,74156,69712,42876,24633,66385,76205,51036,TX-36
8432,7695,6032,2408,18050,10888,10400,2735,24858,51074,65925,49311,33010,45094,61312,57616,TX-16
1849,3918,2565,5728,4009,4842,5786,5921,23525,42052,65324,135263,21321,47766,72537,131595,TX-24
12529,7436,3997,2753,18751,15140,7658,2391,76077,58590,34497,25561,59811,49695,41504,27285,TX-33
6551,5206,3892,1719,8120,10293,9766,2141,31822,68224,72558,56295,28970,62002,79495,58790,TX-11
14381,9095,4184,2049,24920,9445,7561,4700,44138,52461,50979,44826,44893,47594,53636,49384,TX-15
11977,6583,5393,2071,13177,10013,7348,1966,35690,59308,58670,54930,36544,58189,61304,59147,TX-23
5223,5410,3133,2819,5339,9608,6482,2631,24591,61492,78560,82531,21799,68405,81700,89175,TX-12
5437,4737,3616,1297,7721,7748,8460,2312,29953,68145,78359,89795,25011,63855,88209,86639,TX-08
14528,11068,5912,2091,22811,14315,9684,3012,41868,47730,48016,27879,45896,43038,46674,33319,TX-34
8859,11284,5479,2846,14532,20212,9797,3295,39415,60020,52839,48043,36285,55010,66324,56938,TX-30
10879,10694,6541,1776,18091,17645,10946,4060,45241,64094,56405,53373,37866,54776,60433,60668,TX-18
5629,3685,2799,3902,7492,6796,5165,6239,25999,41180,58187,117420,21764,44295,67794,108323,TX-02
7544,11110,6904,2457,15431,11820,10036,2949,38101,54659,70520,57622,31782,57435,74710,63405,TX-20
2670,4833,4357,5314,5360,7236,5638,5819,15178,46630,73979,132798,13804,46597,79973,134292,TX-21
3094,5043,5416,1735,5280,8776,8160,2867,18214,56564,91511,103979,17254,63096,92252,107029,TX-31
4982,6953,4837,2879,5341,7712,7427,3543,17717,52656,66284,107119,15506,54974,68107,109245,TX-25
3751,3388,3713,4369,6132,5613,7215,4043,26159,37539,56619,115250,23806,40804,67192,110833,TX-32
2197,2697,2214,4707,4264,3394,6045,5678,13465,39881,63738,162589,12454,46743,77244,157743,TX-03
6560,10421,6848,794,9250,11900,10237,2195,22254,66139,76367,54967,24168,64751,81560,66325,TX-04
5480,7873,4744,1843,8619,11774,7904,2336,25760,65872,63499,43363,23875,58260,65533,51022,TX-13
1308,2791,3535,2591,2793,3997,6590,3615,20276,49032,76745,130920,18759,51768,87429,136873,TX-26
9371,10619,6213,6573,12350,14941,12654,7403,43744,57453,57075,53462,39773,46204,57240,65101,TX-09
4482,5050,3677,2557,3712,8083,6388,4011,13300,64594,47609,73807,8281,49592,53740,91253,VT-00
2730,2819,3362,1634,2144,6561,5124,2551,14546,56584,71145,76104,13316,53556,81427,66586,UT-01
1685,2884,3794,3509,4027,6660,6827,3002,16779,56450,78837,87103,15445,56206,86700,80042,UT-04
3205,4750,3035,2294,5537,5979,6345,3113,18920,67779,70708,98489,21554,60736,75753,107741,VA-01
1116,2002,1879,1459,2072,3410,1667,3414,17357,38820,56320,154820,17884,40114,61223,160053,VA-10
6224,9311,4156,1975,9425,12339,7915,3489,26010,65569,61374,64448,20732,58305,75761,80336,VA-05
3131,4455,3301,3277,5680,6872,6387,4879,19231,60902,63205,101632,16631,57789,76200,116263,VA-07
2458,1697,1808,3623,4448,1921,2749,6234,17207,33147,49022,152366,20194,36631,56782,144205,VA-11
8772,9024,3851,1686,9899,14674,10717,2898,28139,73050,60500,45611,20828,63776,70311,58070,VA-09
4009,3212,4524,6279,4808,4874,4603,6100,18361,27124,44215,173301,18455,31038,45219,180869,VA-08
3279,5669,6388,2162,5018,9870,10904,2469,18111,69031,83967,67726,16771,57592,93996,70623,WA-03
4023,6679,5001,2438,4404,7126,10557,3686,19826,62187,87049,64714,15769,60888,89498,75055,WA-10
7457,4553,5051,1452,12538,8950,8734,1860,40128,57169,60410,49566,28027,52728,67646,49167,WA-04
3094,4162,6412,6375,2885,3820,9212,7602,12673,30206,59161,183611,10565,26286,56788,180330,WA-07
3214,5711,5600,3439,6712,5172,6997,4292,21273,44127,64582,117111,21477,42040,66345,114048,WA-09
2452,4717,3185,3536,3922,7155,5556,2539,20998,54667,71814,93916,15972,53769,81459,90151,WA-08
6350,8951,3518,1866,7177,12452,7443,1859,15919,73252,48867,43554,12892,67547,52911,51455,WV-01
6119,11938,3798,1864,7875,16983,7445,2448,20477,77237,46762,45023,14990,68257,57346,51293,WV-02
3344,6269,4670,1711,3704,9188,7160,2309,13196,76252,71854,56346,8775,65372,73852,68942,WI-03
7931,10737,6084,2650,10049,15153,11673,4919,21596,55018,49763,54625,18433,51823,57513,70103,WI-04
3807,7615,4492,1647,3591,10032,9103,2354,17921,83639,76845,56102,11972,72680,80263,65331,WI-07
2069,4875,4002,1678,3124,8416,5778,2316,15523,79779,69254,64504,11185,70681,74413,72976,WI-06
3038,5749,3681,1223,3673,8511,7956,1932,14748,81023,76849,61868,12812,72935,75608,74155,WI-08
152977,134386,59878,29828,148606,175670,123907,73444,96076,190795,181973,205088,84614,139889,170427,315315,PR-98
7868,6728,4420,1259,9976,12270,13395,3149,33626,69798,69468,44096,22845,67998,74646,60611,MS-01
8438,9821,7188,1864,12514,16751,12313,4172,25136,56825,59210,51724,19868,46129,75345,72635,MS-03
5191,12397,7086,3679,10689,20295,15898,3951,22381,66846,70300,46270,19362,57859,87405,60063,MS-04
12525,10858,5777,2366,15292,21928,15612,3731,26646,57234,49576,32458,21316,45816,68395,46536,MS-02
3256,6102,4848,5987,4298,10740,9482,5420,9471,55882,53149,91255,8992,60441,65130,95179,PA-18
3916,7590,3521,1641,5934,9151,6409,2067,16889,79794,56096,71150,19394,75765,63291,77518,PA-07
15049,16414,6715,4921,20924,22674,10022,7191,28806,68691,42179,44871,26627,67769,48455,52803,PA-02
1931,5682,4294,1842,3517,7365,7325,3099,9103,59628,60427,107672,8528,61892,67694,109963,PA-17
443,3776,2578,1539,2158,4981,4682,3245,12479,63395,59470,102385,14278,62757,59523,110323,PA-01
4634,8578,3430,839,5184,11384,6268,1475,21253,102813,48794,44599,18802,95682,56148,55350,PA-13
4679,8506,3510,1905,7492,14219,7897,3308,14756,78977,49402,61079,11714,75395,55181,68497,PA-16
4431,10399,4099,2204,5047,16767,7159,3626,16201,79503,61984,55790,14160,79688,66075,59470,PA-08
4005,5949,3016,1526,5089,10602,6123,3237,18224,74175,54587,79996,16838,77764,65584,82234,PA-10
5151,5385,3454,2427,7373,9995,4437,2416,27270,83737,50718,64322,23379,79123,57692,71559,PA-11
4435,7517,3317,789,5960,11756,4306,1847,22298,97628,54898,45322,17668,91686,58363,58186,PA-09
2224,4070,3132,2347,2415,5780,4731,3864,10764,53702,49423,115227,9196,53537,57446,129287,PA-04
4073,10174,3707,1581,5171,14019,5770,1781,14774,99018,53258,43469,13160,94072,51434,53500,PA-15
4039,7255,3111,4238,4012,11181,8014,4691,14405,60552,45153,84162,14217,65022,54866,98514,PA-05
8906,15761,6896,7712,9337,20116,14977,9678,14006,48990,41562,86292,16101,54752,50932,105412,PA-03
8780,12538,7789,2397,7097,15931,11443,3691,20803,74490,67384,56209,19420,67434,78832,67792,MO-07
4471,7734,3325,1822,6079,11764,9691,2292,14551,85075,59191,67758,13453,71411,71843,78369,MO-06
9765,15149,6793,968,12089,18068,11229,1452,26636,85405,55600,37262,22479,72641,66500,50102,MO-08
3551,6370,3786,2553,6409,7492,6852,2169,19253,77430,81158,70746,15784,72223,85595,81373,MO-03
5138,9684,5558,2876,5995,11680,9475,2841,19892,77102,63918,56047,15213,71190,70635,68958,MO-04
3776,11932,10008,4819,5706,16607,12969,6426,18495,94269,102328,115112,12666,82541,111348,122025,MT-00
3241,5845,4381,1932,3670,8128,6810,1813,17317,58746,65302,40374,10488,48983,70040,51084,NE-03
8754,12701,8927,5336,18378,13864,12209,4384,43690,66638,59217,36156,39443,56404,56181,39491,NV-01
2357,6121,5040,4949,2542,8883,9618,5788,16605,69284,97718,95849,15246,68938,97975,106061,NV-03
3417,6193,7371,2875,3876,8094,8277,3776,26730,57676,85764,65892,24783,55293,82056,68321,NV-02
4505,4461,3216,2263,3684,7657,4070,2595,14842,66818,55983,82358,8524,55324,69768,91607,NH-02
5233,5645,4173,2048,6625,9659,6179,3133,16740,66082,57502,76243,15627,71298,65492,85910,NJ-01
7149,9851,3887,2692,11881,14364,7476,5926,24095,66845,48583,73295,24689,60591,63576,85292,NJ-10
1695,2352,1564,2560,3698,5510,3016,3944,12949,47445,54018,121622,11983,52014,53566,132306,NJ-05
1265,4935,1357,2747,1880,5750,3495,3095,13740,46998,44877,130272,10333,46532,47128,146513,NJ-07
3868,9439,3366,3079,9221,13395,4955,4016,29613,70188,49143,86367,24945,71696,50643,95174,NJ-09
3580,3737,2946,3393,7210,6633,4217,4558,23607,55633,50741,95198,20976,57773,53589,99990,NJ-06
5234,7048,3025,4482,7729,10452,4344,4983,18963,46879,42916,115672,17482,56903,48377,119141,NJ-12
6452,10223,6499,4238,9976,9524,11259,6884,19644,47289,62855,73953,18767,48682,63581,82082,NM-01
7808,10596,6090,2526,10830,14129,14116,4397,21778,55463,64735,58671,16923,46447,74526,67146,NM-03
3071,3379,2808,1257,3388,5249,3773,2424,20754,64678,65607,72171,19850,64689,67900,82544,NY-02
5925,7232,4089,2958,7750,8778,7625,4880,15400,44205,61169,90593,16091,47932,64705,101493,NY-25
2362,3036,1776,3235,2406,4334,2465,5499,14205,35027,50115,138781,13818,44248,51105,145589,NY-03
6658,6863,2819,6059,10472,8054,4191,9040,22684,29681,22239,153097,21124,28341,27848,164516,NY-10
17281,10188,6077,7073,27291,19336,12358,6521,38585,53020,41000,71632,40256,43459,44999,89593,NY-13
6110,10574,6252,4475,10273,12212,13024,4818,12294,55142,65676,68076,11584,56241,72873,76909,NY-26
5741,8766,5926,3914,10833,13962,6271,7395,21539,49443,44552,86437,25714,58141,48466,108628,NY-09
3756,3393,1433,1702,4650,7301,3509,3048,18152,62003,64523,83694,14225,60123,61182,101829,NY-01
12026,9022,4356,3500,19148,12258,6942,6489,39760,48913,32853,82606,41393,43097,34541,86559,NY-07
4205,4687,3733,2960,4330,6305,4254,4106,19472,39309,50713,110103,17832,42769,45190,127363,NY-17
6154,7126,5369,5034,10692,8871,6173,7904,32262,56933,48684,87064,32191,54401,53508,100602,NY-06
5668,6615,4768,3118,7516,10125,4868,4829,35165,66665,61713,55059,38223,72181,70612,72048,NY-05
