Under6Years_WithHealthInsuranceCoverage,Under6Years_NoHealthInsuranceCoverage,6To18Years_WithHealthInsuranceCoverage,6To18Years_NoHealthInsuranceCoverage,19To25Years_WithHealthInsuranceCoverage,19To25Years_NoHealthInsuranceCoverage,26To34Years_WithHealthInsuranceCoverage,26To34Years_NoHealthInsuranceCoverage,35To44Years_WithHealthInsuranceCoverage,35To44Years_NoHealthInsuranceCoverage,45To54Years_WithHealthInsuranceCoverage,45To54Years_NoHealthInsuranceCoverage,55To64Years_WithHealthInsuranceCoverage,55To64Years_NoHealthInsuranceCoverage,65To74Years_WithHealthInsuranceCoverage,65To74Years_NoHealthInsuranceCoverage,75YearsAndOver_WithHealthInsuranceCoverage,75YearsAndOver_NoHealthInsuranceCoverage,stateId
1565,198,3117,763,2523,816,1894,572,4540,608,2760,655,2444,622,3630,417,1024,0,FL-09
222,59,2869,58,1254,0,712,356,1795,816,2068,180,1402,531,1874,0,1482,233,FL-19
330,0,1924,93,2285,214,2203,471,1586,86,2166,148,1799,87,2861,0,1611,0,FL-01
2869,0,6198,297,3624,627,6286,821,6977,291,4757,803,3336,552,2208,260,1663,54,FL-07
295,0,2089,241,2160,88,3009,39,2745,340,1804,415,2190,325,1609,0,837,0,FL-27
832,0,2720,411,442,150,1774,79,2923,571,2111,31,1495,77,1012,0,760,0,GA-03
993,0,3956,114,2131,260,2134,276,2105,645,3385,377,1277,228,578,0,253,0,GA-10
2124,210,5467,618,2985,1258,2951,924,4683,929,4854,651,3945,561,2893,35,1170,0,GA-04
1046,190,4033,272,8851,643,7845,497,6293,316,2960,734,3476,172,1569,203,1759,0,GA-05
720,0,2132,18,760,424,1296,407,695,70,1681,168,1838,11,641,0,25,0,GA-09
8389,652,22779,2001,8873,1071,14416,2083,22020,2579,18639,2450,12680,2035,7843,502,4017,485,GA-07
7016,284,13931,128,3867,516,13251,840,17826,845,13963,412,7069,247,4745,234,1846,0,GA-06
124,0,1419,204,1057,486,1288,264,1545,654,1601,234,950,538,1281,156,579,0,GA-01
