Under6Years_WithHealthInsuranceCoverage,Under6Years_NoHealthInsuranceCoverage,6To18Years_WithHealthInsuranceCoverage,6To18Years_NoHealthInsuranceCoverage,19To25Years_WithHealthInsuranceCoverage,19To25Years_NoHealthInsuranceCoverage,26To34Years_WithHealthInsuranceCoverage,26To34Years_NoHealthInsuranceCoverage,35To44Years_WithHealthInsuranceCoverage,35To44Years_NoHealthInsuranceCoverage,45To54Years_WithHealthInsuranceCoverage,45To54Years_NoHealthInsuranceCoverage,55To64Years_WithHealthInsuranceCoverage,55To64Years_NoHealthInsuranceCoverage,65To74Years_WithHealthInsuranceCoverage,65To74Years_NoHealthInsuranceCoverage,75YearsAndOver_WithHealthInsuranceCoverage,75YearsAndOver_NoHealthInsuranceCoverage,stateId
722,0,1315,0,1131,475,737,403,1152,174,715,173,1268,318,2339,269,640,0,GA-12
470,0,1552,71,566,9,1959,451,1325,0,1352,108,1465,742,751,0,605,0,ID-01
6021,0,19751,928,10216,497,17305,1379,22464,856,24666,571,29509,1168,23036,482,22405,30,HI-02
1793,265,3377,420,1291,146,3157,245,4447,4,2701,319,988,68,348,380,455,0,IL-18
1995,47,9703,96,2160,183,2248,327,7039,233,6782,152,3985,221,2329,168,1087,0,IL-14
,,,,,,,,,,,,,,,,,,IL-16
,,,,,,,,,,,,,,,,,,IL-17
775,0,4263,357,3440,139,3911,466,3586,1090,5837,264,3950,1006,2422,100,1647,0,IL-03
2948,72,8948,128,3564,266,6422,139,8396,1265,10700,388,6514,243,3921,427,2136,43,IL-11
,,,,,,,,,,,,,,,,,,IL-15
201,0,2313,231,1283,258,1413,0,870,62,892,689,1067,139,805,0,460,0,IN-02
,,,,,,,,,,,,,,,,,,IN-06
1772,260,3611,513,2120,283,2520,803,2524,373,2240,663,1284,122,845,0,96,0,IN-03
947,386,4664,170,6808,729,3480,270,1964,641,2449,191,1203,0,907,0,213,0,IN-04
649,0,1119,0,2167,174,2527,1202,1155,398,1188,25,704,0,918,0,178,0,IA-04
2651,154,6345,82,3349,556,3341,491,6831,151,3699,0,1921,207,821,0,939,0,IA-03
1165,71,4298,40,2901,303,2382,1031,3129,380,3302,478,2035,393,1313,123,1223,0,KS-04
1532,58,3820,80,315,122,2034,131,2969,1246,1289,763,939,353,394,46,386,0,KY-02
2060,0,2536,0,1962,0,4326,117,3784,72,2555,50,1660,27,1348,0,182,23,KY-03
864,70,2724,102,902,427,849,160,1789,45,1790,53,861,0,975,0,213,0,KY-04
821,256,2407,1457,835,826,2318,1064,2864,1592,1362,0,1216,561,209,0,444,0,LA-06
985,68,1621,371,1494,458,1163,387,1696,732,1188,184,648,39,500,346,35,0,LA-03
2349,0,5264,72,2024,309,4249,255,8135,137,4603,0,2850,142,2373,68,1427,0,MA-06
2893,54,10140,0,3995,216,9239,460,9194,209,9674,110,5762,229,2672,119,2142,0,MA-03
,,,,,,,,,,,,,,,,,,MI-07
401,0,1034,21,1840,136,997,263,1970,95,1443,195,779,524,845,0,126,0,MI-06
,,,,,,,,,,,,,,,,,,MI-10
,,,,,,,,,,,,,,,,,,MI-04
6207,0,14010,611,4803,172,10955,148,14851,90,12145,1108,7446,303,5481,58,3646,88,MI-11
1334,0,5971,81,7635,158,7237,0,5672,0,3785,177,2524,36,1883,45,1862,0,MI-12
2335,41,6370,249,3034,127,5191,443,6995,173,4303,104,2861,139,2140,191,733,0,MN-02
,,,,,,,,,,,,,,,,,,MN-08
8868,187,21252,271,10033,941,16671,1193,12600,904,9070,168,5504,351,2944,0,1843,44,MN-04
2531,544,4013,602,7881,748,8691,603,5973,715,4220,782,2215,308,1813,61,1606,0,AZ-09
,,,,,,,,,,,,,,,,,,AR-01
,,,,,,,,,,,,,,,,,,AR-04
5519,580,13138,593,6025,1633,9918,2153,10083,381,4327,490,5474,423,4504,36,3651,219,CA-16
3072,0,5144,91,8819,673,13617,1121,10594,371,6946,578,5401,770,4748,0,4803,0,CA-37
7208,333,14335,607,11785,832,15580,1637,18445,1299,13119,867,11186,171,11572,241,6333,128,CA-53
4757,52,9739,178,4407,356,7954,1631,6646,1255,8238,498,7217,369,5630,213,3596,0,CA-31
,,,,,,,,,,,,,,,,,,TN-04
663,0,1271,60,5257,49,3102,32,1739,266,1331,122,854,208,859,0,486,0,NY-23
1934,0,5321,0,3045,45,4016,466,5603,303,5860,530,4515,145,3775,155,2111,146,NY-16
7987,94,15792,573,7976,875,15036,792,15019,737,14032,1045,15620,474,10833,197,5933,0,NY-11
762,0,2573,0,1432,61,1763,0,1692,444,1483,180,948,0,1201,39,729,0,NY-15
3569,0,5211,289,6009,235,8528,733,5577,288,5303,489,4496,259,3320,0,2884,0,NY-08
5060,0,8373,122,15021,415,26814,1581,19102,377,14780,212,7606,481,6201,87,5611,0,NY-12
999,24,4281,61,1811,152,1867,525,2860,149,3849,87,2660,212,1943,0,674,0,NY-18
,,,,,,,,,,,,,,,,,,NC-01
35,0,812,145,398,214,697,105,649,491,784,654,494,450,313,0,808,0,NC-07
1352,63,3210,86,1981,52,2217,0,4308,259,2399,589,2944,126,1788,64,632,0,NC-02
,,,,,,,,,,,,,,,,,,NC-06
465,118,857,0,510,485,528,619,1132,192,1219,453,602,0,1072,236,575,0,NC-03
1012,205,2340,206,451,998,2121,615,2021,82,1051,78,1032,445,620,45,326,71,NC-10
5616,478,14051,740,6319,491,11866,577,16577,2161,11411,518,4549,525,3144,671,1933,0,NC-04
,,,,,,,,,,,,,,,,,,NC-05
2130,106,4241,78,2604,129,5795,147,3979,577,4668,104,2576,201,1264,0,1197,0,OH-01
672,0,953,92,601,38,659,773,473,123,1665,195,582,61,1010,0,476,0,NC-11
980,403,4215,438,1327,116,3623,356,3073,548,2849,139,1610,404,1538,0,1122,0,NC-08
3672,42,6619,296,5101,433,10896,998,8871,721,4818,1254,3458,201,3024,0,1024,79,NC-12
,,,,,,,,,,,,,,,,,,OH-07
779,97,2002,0,1082,158,1284,112,3010,0,2090,35,944,360,1326,0,613,0,OH-14
1955,220,5020,209,4970,598,6664,1368,4662,163,4895,95,2351,123,1696,114,761,0,OH-03
510,78,1995,78,2503,135,2366,377,1569,144,1914,0,968,0,1331,248,908,0,OH-10
,,,,,,,,,,,,,,,,,,OH-05
817,0,3148,0,2527,1531,2253,88,1664,442,2184,257,1094,37,506,0,654,0,OH-13
2577,0,2326,69,1511,68,5036,295,3584,124,2853,226,1424,100,588,42,425,114,OH-15
615,60,2192,0,1358,399,2399,508,1919,58,2264,53,1261,140,760,0,458,0,OH-09
2978,0,7144,560,2586,251,4786,130,9696,173,3289,576,2529,762,1988,234,668,123,OH-12
360,130,657,168,461,38,624,46,603,289,632,48,635,12,212,39,108,0,OK-02
103,0,1786,0,1757,418,1670,106,1298,124,1198,23,1095,0,562,13,767,0,OK-03
597,39,2338,105,3769,354,2068,152,1942,357,1987,609,1631,499,1107,0,880,0,OK-04
4568,0,11082,662,6054,324,13775,262,14311,153,10079,359,6392,1227,4883,159,2954,0,OR-01
982,0,3407,0,2768,0,2168,191,4297,141,3322,233,3005,115,2682,124,1356,42,OR-05
423,0,1614,10,687,272,245,57,1959,63,1324,123,1028,0,882,0,626,0,OR-02
,,,,,,,,,,,,,,,,,,RI-02
487,0,2854,157,509,724,2983,557,1751,371,3016,0,1357,81,1547,0,334,0,SC-01
891,0,3787,0,1534,64,2253,559,3114,30,3424,101,1284,113,1360,404,772,0,SC-04
717,213,2018,571,219,242,1700,856,1701,275,1468,0,1439,372,613,55,120,0,SC-05
,,,,,,,,,,,,,,,,,,SC-02
,,,,,,,,,,,,,,,,,,SD-00
,,,,,,,,,,,,,,,,,,TN-01
1586,69,3451,261,2931,128,5105,416,3119,709,3158,773,2087,267,1437,244,532,0,TN-05
1359,0,2330,309,1118,413,2250,149,3658,0,1651,368,1500,0,1325,0,85,0,TN-07
596,0,1087,0,1130,501,1782,176,2040,315,1953,351,1155,197,539,0,452,0,TN-02
1029,0,2590,43,1761,424,2909,177,2203,496,1511,346,1198,391,924,0,684,0,TN-09
,,,,,,,,,,,,,,,,,,TX-28
394,0,1254,169,1548,427,719,159,708,425,503,311,632,187,263,0,346,0,TX-01
8069,252,11291,1652,4770,593,13504,2251,17012,1319,10552,2076,8990,706,5967,140,3290,122,TX-07
1675,70,7716,700,3138,929,3307,431,4542,898,5397,554,4277,1284,2443,44,1594,0,TX-06
2603,0,4224,776,4707,725,7388,59,5290,128,3297,1301,1819,148,1348,91,716,98,TX-17
496,142,1779,174,628,256,1216,229,1317,377,2174,504,1811,42,1442,0,656,33,TX-36
126,33,1471,308,815,326,1088,208,762,468,1221,59,960,0,900,0,420,0,TX-16
9402,510,18989,889,7785,2221,22601,1942,24393,1628,14646,2240,10619,1910,6225,454,2443,181,TX-24
897,0,2631,28,471,266,2871,968,1249,313,1502,187,1469,283,1777,247,668,182,TX-33
944,178,728,221,255,82,1573,342,624,288,475,76,1208,224,490,0,102,0,TX-11
,,,,,,,,,,,,,,,,,,TX-15
,,,,,,,,,,,,,,,,,,TX-23
2051,1371,3469,0,2881,539,4405,653,4255,2749,3538,744,1131,811,1596,364,1049,128,TX-12
1661,0,3690,390,1642,51,3831,792,5336,0,2982,509,2976,223,1700,117,812,0,TX-08
,,,,,,,,,,,,,,,,,,TX-34
242,250,2076,62,707,143,2718,498,1775,238,1824,208,1578,0,1049,0,657,0,TX-30
2056,0,4220,375,3756,163,8316,439,4333,511,3478,752,2417,277,3143,550,1549,0,TX-18
3771,143,8937,1229,7262,1056,8830,1290,8966,539,8477,1209,6283,422,4107,65,2577,0,TX-02
1847,114,3659,432,1714,146,4641,703,2631,438,2088,750,2053,0,1521,241,1214,0,TX-20
1171,182,3627,212,4788,1144,3856,819,6296,835,4078,178,1073,0,2857,0,485,0,TX-21
3846,238,9316,31,2164,609,6515,1650,12181,684,6940,200,4242,353,3192,190,1355,0,TX-31
1716,83,5659,326,2276,443,5043,358,4781,328,3720,288,2559,399,1567,0,1098,0,TX-25
4643,0,7648,861,6311,783,7030,1499,9049,861,8622,895,5756,1741,4417,94,3461,0,TX-32
11937,306,31103,1003,8774,2331,21125,1111,33069,2099,22767,2212,11286,1238,6967,828,4622,48,TX-03
1275,0,1509,258,954,414,859,0,2232,329,1942,173,763,146,593,164,707,0,TX-04
1919,139,2869,815,1244,530,1545,481,2631,135,1628,355,678,298,975,240,248,58,TX-13
5455,106,13704,840,4139,964,9233,647,13710,594,11450,953,4487,600,3240,467,1203,204,TX-26
4841,653,8772,1446,7362,2171,9749,2749,9593,2698,10579,2444,10939,2818,9427,659,6359,0,TX-09
,,,,,,,,,,,,,,,,,,VT-00
493,306,866,165,2341,126,2586,759,1381,80,1653,0,1461,95,937,0,313,0,UT-01
1031,0,3570,339,1828,73,4109,46,4826,340,2778,373,1896,655,1006,0,610,147,UT-04
1587,0,5286,480,1204,423,3230,521,4606,178,4070,505,3566,63,2165,431,1113,177,VA-01
7580,0,26463,130,6742,698,12043,721,26709,799,23603,544,12827,1502,7803,424,4769,243,VA-10
421,33,1943,151,3124,89,1243,287,1150,0,1515,574,633,96,770,50,326,92,VA-05
3039,37,7114,972,1726,479,6559,522,8646,235,5289,845,2903,202,3118,371,1439,122,VA-07
8054,338,23148,929,9342,1917,18564,1956,23250,2015,21711,1191,16375,1368,10760,434,5789,0,VA-11
293,0,756,0,2504,193,2250,0,1773,0,1085,0,792,0,523,140,203,0,VA-09
5167,124,10989,1766,7236,1341,16717,1952,14655,1267,11811,1866,9652,747,6819,627,5583,134,VA-08
800,53,3309,62,2025,0,2601,430,3930,204,3751,125,3572,0,2390,0,1269,65,WA-03
2352,0,7335,267,3599,555,6832,409,8032,485,6904,999,6450,896,5544,0,3293,0,WA-10
,,,,,,,,,,,,,,,,,,WA-04
3637,0,9314,397,20529,1903,30922,1295,14685,680,13152,1309,8710,548,5880,27,6574,0,WA-07
9837,719,23085,772,11456,943,33629,3483,25425,1398,21634,2301,19481,2136,14071,566,7893,396,WA-09
4561,336,13003,300,3565,670,8123,643,16555,297,10213,418,5856,614,5127,473,2541,235,WA-08
,,,,,,,,,,,,,,,,,,WV-01
,,,,,,,,,,,,,,,,,,WV-02
1820,0,3994,0,2198,1039,1871,290,2510,72,1349,15,905,519,627,0,297,0,WI-03
1379,48,5982,232,3361,671,4868,999,4387,308,2666,249,1545,195,580,0,445,0,WI-04
763,0,2392,141,1407,123,1320,236,1800,141,1528,114,578,83,367,206,122,206,WI-07
1787,0,3746,240,1540,0,4394,492,1718,0,2280,42,1218,16,851,0,243,0,WI-06
1430,0,4497,0,1818,204,3173,55,2359,125,2039,10,945,0,858,0,440,0,WI-08
,,,,,,,,,,,,,,,,,,PR-98
,,,,,,,,,,,,,,,,,,MS-01
645,137,1326,357,650,108,1275,208,1931,0,813,147,702,572,91,0,63,0,MS-03
1005,0,902,110,496,201,491,1066,1622,167,941,209,1028,101,1147,102,427,0,MS-04
,,,,,,,,,,,,,,,,,,MS-02
2044,60,4078,127,4690,663,7377,534,3187,181,2845,72,1939,99,1405,0,399,0,PA-18
910,0,3586,164,2701,144,3191,147,2569,497,2844,243,2265,87,1626,0,785,75,PA-07
3848,91,9792,717,3741,296,7180,913,8486,1632,9240,763,7372,1147,4911,203,3353,56,PA-02
1458,0,3001,0,920,0,2734,168,4734,18,2420,190,1564,0,1147,0,464,0,PA-17
2492,0,7518,496,2590,533,5679,650,7783,259,6287,131,4546,519,2978,205,1494,0,PA-01
,,,,,,,,,,,,,,,,,,PA-13
645,93,797,0,1299,149,859,85,891,132,1001,0,524,0,569,0,160,0,PA-16
874,265,2034,104,1271,42,1301,390,1981,532,1285,105,1381,110,1275,0,285,0,PA-08
2061,46,5330,614,1683,0,4844,334,4527,258,4819,487,2537,185,1773,0,784,166,PA-10
804,0,2845,0,1294,145,1890,0,1400,0,2031,272,1286,100,609,0,753,0,PA-11
420,132,895,222,722,106,697,67,1506,261,1729,331,704,0,443,0,433,0,PA-09
3599,95,6063,202,3512,40,7733,302,8626,190,6517,409,5478,235,3383,87,2788,0,PA-04
52,0,415,0,1318,0,840,87,47,0,1030,120,376,102,265,0,150,0,PA-15
3468,0,8769,731,4498,374,6061,694,6819,1146,6935,492,4682,500,3185,341,1381,0,PA-05
1448,0,3514,179,9026,1389,10748,549,4703,311,2717,270,3018,58,2605,60,1257,0,PA-03
715,0,2184,34,1706,152,2004,206,767,0,1619,244,907,13,438,0,348,29,MO-07
199,57,2308,12,800,100,797,264,1559,0,2119,273,1144,376,293,0,420,0,MO-06
,,,,,,,,,,,,,,,,,,MO-08
392,0,937,737,709,336,1158,181,1420,538,1010,604,994,126,658,32,622,0,MO-03
317,0,1137,0,2319,519,2057,416,2442,0,1778,43,1504,7,1238,0,85,0,MO-04
,,,,,,,,,,,,,,,,,,MT-00
,,,,,,,,,,,,,,,,,,NE-03
2328,481,6512,592,4020,887,7337,1436,8395,1896,7573,797,8304,1195,8297,863,4927,44,NV-01
4890,535,14831,1119,8099,1075,13504,1738,17194,1805,17441,1254,14391,1090,11327,87,8418,0,NV-03
1499,202,4030,900,2655,151,3828,871,4525,362,3224,386,5099,182,3046,83,1898,0,NV-02
878,59,2469,153,1215,41,2665,504,3814,318,2212,140,2006,39,687,0,372,0,NH-02
1929,0,6525,37,2470,0,4741,149,6028,98,5261,89,4359,87,3200,48,1505,0,NJ-01
2873,132,4506,134,4778,157,9437,642,7371,852,5415,267,4917,1042,3281,0,2501,0,NJ-10
3968,0,13911,191,4848,1209,7654,122,11034,74,11749,640,9307,1039,6483,44,4245,90,NJ-05
5367,0,17547,49,4624,0,5820,487,18251,485,15233,319,8555,503,5313,306,3609,293,NJ-07
6282,221,12980,1346,5963,997,11980,1234,16786,1828,14140,2325,11672,2093,7560,440,5313,971,NJ-09
9596,391,23586,448,11555,1268,16983,1685,24627,1168,15534,1383,13276,1623,9176,33,4189,0,NJ-06
8017,80,23758,238,9917,232,12797,461,22795,605,20408,1085,13122,660,8977,123,6617,171,NJ-12
1073,0,1991,377,951,56,3049,103,3689,258,2628,51,1816,118,1119,95,990,0,NM-01
1127,175,658,0,742,379,1497,98,728,0,1501,60,1694,128,449,0,205,0,NM-03
1979,0,4061,488,1752,21,4167,577,3251,470,3768,135,4118,38,2202,0,1407,26,NY-02
2152,0,4029,186,3714,246,3750,318,3474,106,3271,96,2292,0,1549,0,1122,0,NY-25
6642,0,21558,464,8069,408,11860,1378,17045,1378,19574,1609,12910,1762,9739,329,5886,94,NY-03
6303,56,16277,409,13325,992,24855,1169,22125,852,16551,871,15906,1580,10171,33,5158,82,NY-10
1756,0,2268,0,4841,9,5315,925,4090,115,4687,217,3066,388,2413,267,1566,0,NY-13
2823,85,6984,39,5601,318,4569,318,4806,61,3306,77,1575,214,1161,44,755,0,NY-26
3921,67,5250,393,4635,164,7816,576,6884,751,7681,272,6806,379,4338,27,2578,0,NY-09
1906,0,5217,0,4771,231,3315,265,4051,194,2831,281,2750,185,1843,42,1334,0,NY-01
7641,0,14613,148,9049,865,15063,3064,19501,2012,12932,2439,16409,1305,12021,156,9917,0,NY-07
2624,0,5523,0,3121,153,5080,611,7017,96,6621,537,5929,330,3758,157,3234,0,NY-17
16330,278,35320,2488,17082,2346,32307,6444,34492,7919,36043,5759,39181,5778,26110,2275,16420,819,NY-06
7070,499,15616,609,9732,1297,14289,2546,13309,1529,13384,1850,15392,1622,8386,510,5897,38,NY-05
